subjectCode,MSVList,numberStudents
CHE1129 CLCCNH,"[20000196, 20000412, 20000775, 20001240, 20001543, 20001728, 20001819, 20001877, 20003171, 20003250, 20004364, 20004604, 20004662, 20004786, 20005066, 20005397, 20005484, 20006257, 20006453, 20006850, 20007144, 20008035, 20008646, 20009329, 20009348, 20009820, 20009849, 21000761, 21001677, 21003006, 21003176, 21003184, 21004273, 21004604, 21005020]",35
CHE1155,"[18101200, 18103363, 18105550, 18107724, 18109699, 19100003, 19100957, 19102099, 19102728, 19103005, 19103155, 19103381, 19104449, 19104565, 19104820, 19106080, 19107052, 19108250, 19108317, 19108448, 19108714, 19109538, 19109822, 19109946, 20100003, 20100015, 20100025, 20100277, 20100590, 20100726, 20100957, 20101095, 20101244, 20101433, 20101654, 20101729, 20101818, 20102099, 20102341, 20102342, 20102609, 20102728, 20103094, 20103206, 20103226, 20103363, 20103363, 20103371, 20103517, 20103590, 20103691, 20104027, 20104237, 20104238, 20104418, 20104449, 20104542, 20104558, 20104828, 20105643, 20105845, 20105898, 20106080, 20106445, 20106555, 20106630, 20106815, 20107052, 20107069, 20107092, 20107251, 20107263, 20107401, 20107408, 20107460, 20107627, 20107663, 20107724, 20107921, 20107957, 20108197, 20108250, 20108252, 20108317, 20108468, 20108514, 20108599, 20108601, 20108714, 20108977, 20109156, 20109466, 20109699, 20109805, 20109918, 20109980, 20109984, 21100897, 21101095, 21101344, 21101432, 21101433, 21101818, 21101833, 21102016, 21102341, 21102509, 21102752, 21102880, 21102889, 21103082, 21103245, 21103292, 21103363, 21103517, 21103590, 21103916, 21104182, 21104238, 21105011, 21105020, 21105463, 21105550, 21105705, 21105845, 21105898, 21105934, 21106080, 21106221, 21106445, 21106622, 21107034, 21107046, 21107063, 21107143, 21107410, 21107460, 21107474, 21107582, 21107794, 21107921, 21108197, 21108250, 21108317, 21108445, 21108468, 21108520, 21108537, 21108714, 21108977, 21109156, 21109314, 21109822, 21109837, 21109980]",155
CHE2018,"[17001902, 17005895, 18000762, 18002697, 18003770, 18003801, 18005900, 18006637, 18007345, 18008415, 18009193, 19001197, 19001628, 19001946, 19005403, 19006160, 19006856, 19006876, 19007535, 19007931, 19008012, 19008923, 19009218, 20000527, 20000621, 20000821, 20001038, 20001059, 20001144, 20001461, 20001468, 20001759, 20001922, 20002246, 20002358, 20002698, 20003021, 20003053, 20003216, 20003242, 20003291, 20003308, 20003454, 20003462, 20003871, 20004103, 20004242, 20004362, 20004730, 20004836, 20004905, 20004949, 20005072, 20005226, 20005570, 20005719, 20005756, 20005780, 20006069, 20006074, 20006110, 20006304, 20006493, 20006556, 20006596, 20006845, 20006980, 20007034, 20007113, 20007123, 20007203, 20007234, 20007283, 20007557, 20007714, 20007885, 20008080, 20008129, 20008412, 20008893, 20008995, 20009162, 20009218, 20009238, 20009416, 20009435, 20009456, 20009471, 20009623, 20009671, 20009675, 20009892, 20009894]",93
CHE2021,"[17000008, 17001171, 17002137, 17009699, 18002252, 18002697, 18004665, 18008070, 19001197, 19003083, 19003195, 19003418, 19005403, 19005893, 19006831, 19006856, 19006876, 19007931, 19008996, 19009551, 19009979, 20000527, 20000621, 20000821, 20001038, 20001144, 20001461, 20001468, 20001759, 20001922, 20002246, 20002358, 20002698, 20003021, 20003216, 20003242, 20003308, 20003454, 20003462, 20003871, 20004103, 20004242, 20004730, 20004836, 20004905, 20004949, 20005226, 20005780, 20006069, 20006074, 20006110, 20006304, 20006493, 20006556, 20006596, 20006845, 20007034, 20007113, 20007203, 20007234, 20007283, 20007557, 20007714, 20007885, 20008129, 20008412, 20008995, 20009066, 20009162, 20009218, 20009263, 20009416, 20009456, 20009471, 20009671, 20009675, 20009892, 20009894]",78
CHE2021 CLCCNH,"[18004215, 20000196, 20000412, 20000775, 20001240, 20001543, 20001728, 20001819, 20001877, 20003171, 20003250, 20004364, 20004604, 20004662, 20004786, 20005066, 20005397, 20005484, 20006257, 20006453, 20006850, 20007144, 20008035, 20008646, 20009329, 20009348, 20009820, 20009849]",28
CHE2030E CLCHD,"[18002897, 19000127, 19000481, 19000582, 19000621, 19000833, 19001038, 19001304, 19001736, 19001763, 19002104, 19002110, 19002246, 19002358, 19002361, 19002505, 19002752, 19002943, 19003155, 19003216, 19003317, 19003453, 19003468, 19003602, 19003756, 19004071, 19004073, 19004103, 19004127, 19004477, 19004730, 19004820, 19004905, 19005072, 19005226, 19005287, 19005320, 19005420, 19005756, 19005860, 19006014, 19006062, 19006067, 19006069, 19006074, 19006075, 19006080, 19006264, 19006304, 19006490, 19006493, 19006580, 19006606, 19006752, 19006845, 19007034, 19007123, 19007131, 19007283, 19007520, 19007714, 19007796, 19008129, 19008166, 19008231, 19008261, 19008295, 19008412, 19008474, 19008624, 19008782, 19009066, 19009238, 19009471, 19009651, 19009745, 19009830, 19009845, 19009892, 19009894, 21002147, 21008082]",82
CHE2110 TNH,"[20000174, 20000582, 20002889, 20002972, 20003174, 20004591, 20004818, 20005925, 20006621, 20006876, 20007858, 20008148, 20009345, 20009381, 20009764, 21000426, 21001317, 21001723, 21001984, 21002110, 21003206, 21003226, 21004836, 21005484, 21006067, 21006221, 21007393, 21007939, 21008448, 21009671]",30
CHE2110E TTH,"[17001258, 18001767, 20000098, 20000824, 20001114, 20001158, 20001652, 20001711, 20001813, 20002330, 20002845, 20003228, 20003897, 20004117, 20006330, 20006908, 20007596, 20008806, 21000196, 21000412, 21000968, 21001114, 21001728, 21002330, 21004786, 21004827, 21005066, 21005397, 21005890, 21006453, 21007437, 21009154, 21009820]",33
CHE2114,"[16008531, 17000196, 18000326, 18000665, 18002897, 18006452, 18006552, 18007948, 18010015, 18013363, 18017408, 18017424, 18018391, 19002233, 19004221, 19005693, 19005714, 19007620, 20000624, 20001423, 20001473, 20001741, 20001815, 20003911, 20005520, 20006362, 20008905, 20009353, 20009851]",29
CHE2114E CLCHD,"[19001038, 19003216, 19004103, 19006069, 19007131, 20000004, 20000058, 20000254, 20000265, 20000275, 20000761, 20000870, 20000891, 20000950, 20001126, 20001317, 20001417, 20001489, 20001565, 20001677, 20001679, 20001694, 20002076, 20002267, 20002536, 20002887, 20002891, 20002911, 20002960, 20002964, 20003010, 20003176, 20003184, 20003365, 20003394, 20003628, 20003659, 20003671, 20003691, 20003717, 20004017, 20004055, 20004127, 20004218, 20004264, 20004265, 20004287, 20004575, 20004748, 20004840, 20004979, 20005301, 20005500, 20005916, 20006570, 20006590, 20006606, 20006683, 20006806, 20006902, 20007082, 20007307, 20007333, 20007364, 20007729, 20007802, 20007805, 20007866, 20007904, 20008170, 20008326, 20008864, 20009428, 20009448, 20009472, 20009543, 20009618, 20009641, 20009652, 20009672, 20009695, 20009940]",82
CHE2118E TTH,"[18003398, 19002010, 19004027, 19005414, 19007575, 20000098, 20000824, 20001114, 20001158, 20001652, 20001711, 20001813, 20002330, 20002845, 20003228, 20003897, 20004117, 20006330, 20006908, 20007596, 20008806, 21001432, 21004786, 21005066, 21006257, 21007144]",26
CHE2120E TTH,"[20000098, 20000824, 20001114, 20001158, 20001652, 20001711, 20001813, 20002330, 20003228, 20004117, 20006330, 20006908, 20007596, 21006257]",14
CHE2121 TNH,"[18004599, 18007060, 19000045, 19001468, 19002099, 19002182, 19003053, 19003174, 19003806, 19004410, 19005895, 19006181]",12
CHE2128 TNH,"[20000174, 20000582, 20002889, 20002972, 20003174, 20005925, 20006876, 20007858, 20008148, 20009345, 20009381, 20009764]",12
CHE2130 TNH,"[19000045, 19001468, 19002099, 19002182, 19003053, 19003174, 19003806, 19004410, 19005895, 19006181, 20004818, 20005925, 20009381]",13
CHE2130E TTH,"[18003594, 18003794, 19000283, 19002010, 19004027, 19004085, 19004659, 19005414, 19005525, 19006182, 19006590, 19006930, 19007556, 19007575, 19007981, 19008584, 19009240]",17
CHE2131 TNH,"[19000045, 19001468, 19002099, 19002182, 19003053, 19003174, 19003806, 19004410, 19005895, 19006181]",10
CHE2145E TTH,"[19000283, 19002010, 19004027, 19004085, 19004659, 19005414, 19005525, 19006182, 19006590, 19006930, 19007556, 19007575, 19007981, 19008584, 19009240]",15
CHE3045,"[17002137, 17003989, 17005895, 17008451, 17009472, 18000260, 18000951, 18003863, 18008070, 19000320, 19000624, 19000753, 19001030, 19001197, 19001337, 19001352, 19001473, 19001628, 19001946, 19002302, 19002565, 19002696, 19003083, 19003174, 19003187, 19003195, 19003412, 19003418, 19003785, 19003911, 19004098, 19004189, 19004304, 19004390, 19004404, 19004746, 19004828, 19004890, 19005403, 19005520, 19005783, 19005893, 19006133, 19006160, 19006362, 19006378, 19006780, 19006831, 19007030, 19007535, 19007931, 19008012, 19008148, 19008258, 19008436, 19008947, 19008990, 19009321, 19009345, 19009551, 19009609, 19009851, 19009979, 19011025, 19011146, 19011935, 19012105, 19012342, 19012532, 19012609, 19012915, 19013005, 19013317, 19013381, 19013517, 19013775, 19014449, 19014547, 19014818, 19015139, 19015787, 19016058, 19016815, 19017069, 19017263, 19017275, 19017336, 19017371, 19017460, 19017642, 19018252, 19019236, 19019575, 19019638, 20000821, 20006304, 20009471, 20009894, 21006218]",99
CHE3045E CLCCNH,"[19000231, 19000821, 19001144, 19001461, 19001922, 19002889, 19003291, 19003462, 19004949, 19005780, 19006556, 19006596, 19006980, 19007203, 19007234, 19008080, 19009218, 19009263, 19009416, 19009456, 19009675]",21
CHE3212 TTH,"[19000283, 19002010, 19004027, 19004085, 19004659, 19005414, 19005525, 19006182, 19006590, 19006930, 19007556, 19007575, 19007981, 19008584, 19009240]",15
CHE3253,"[16000916, 17001171, 17005895, 17009699, 18002697, 18004665, 18008070, 19000320, 19000624, 19000753, 19001197, 19001337, 19001473, 19001628, 19001946, 19002302, 19002565, 19002696, 19003083, 19003174, 19003187, 19003195, 19003296, 19003412, 19003418, 19003785, 19003911, 19004098, 19004189, 19004304, 19004390, 19004404, 19004746, 19004890, 19005403, 19005520, 19005783, 19005893, 19006362, 19006378, 19006780, 19006831, 19006856, 19006876, 19007030, 19007535, 19007931, 19008012, 19008220, 19008436, 19008947, 19008996, 19009321, 19009345, 19009551, 19009609, 19009851, 19009979]",58
CHE3253 CLCCNH,"[18004215, 19000231, 19000821, 19001144, 19001461, 19001922, 19002889, 19003291, 19003462, 19004949, 19005780, 19006556, 19006596, 19006980, 19007203, 19007234, 19008080, 19009218, 19009263, 19009416, 19009456, 19009675]",22
CHE3254,"[17000229, 17001171, 17002137, 17004137, 17005895, 18002697, 18004665, 18008070, 19000320, 19000624, 19000753, 19001197, 19001337, 19001473, 19001628, 19001946, 19002302, 19002565, 19002696, 19003083, 19003174, 19003187, 19003195, 19003296, 19003412, 19003418, 19003785, 19003911, 19004098, 19004189, 19004304, 19004390, 19004404, 19004746, 19004890, 19005403, 19005520, 19005783, 19005893, 19006160, 19006362, 19006378, 19006831, 19006856, 19006876, 19007030, 19007535, 19007931, 19008012, 19008148, 19008220, 19008436, 19008947, 19008996, 19009321, 19009345, 19009551, 19009609, 19009851, 19009979, 20001144, 20001759, 20003053, 20006596, 20008080, 20009894]",66
CHE3254 CLCCNH,"[19000231, 19000821, 19001144, 19001461, 19001922, 19002889, 19003291, 19003462, 19004949, 19005780, 19006556, 19006596, 19006980, 19007203, 19007234, 19008080, 19009218, 19009263, 19009416, 19009456, 19009675]",21
CHE3283 CLCHD,"[18002897, 18004599, 19000127, 19000481, 19000582, 19000621, 19000833, 19001038, 19001304, 19001763, 19001887, 19002104, 19002110, 19002246, 19002358, 19002361, 19002505, 19002752, 19002943, 19003155, 19003317, 19003453, 19003468, 19003602, 19003756, 19004071, 19004073, 19004127, 19004477, 19004730, 19004820, 19004905, 19005226, 19005287, 19005320, 19005420, 19005756, 19005860, 19006014, 19006062, 19006067, 19006074, 19006075, 19006080, 19006264, 19006304, 19006490, 19006493, 19006580, 19006606, 19006752, 19006845, 19007034, 19007123, 19007131, 19007283, 19007520, 19007714, 19007796, 19008129, 19008166, 19008231, 19008261, 19008295, 19008412, 19008474, 19008624, 19008782, 19009066, 19009238, 19009471, 19009651, 19009745, 19009830, 19009845, 19009892, 19009894, 20000254]",78
CHE3300,"[18000326, 18000665, 18000951, 18002188, 18004034, 18004826, 18006452, 18007948, 18008045, 19000445, 19003251, 19003551, 19004886, 20000527, 20000624, 20001059, 20001197, 20001337, 20001423, 20001490, 20001628, 20001741, 20001815, 20001922, 20001946, 20002119, 20002698, 20002964, 20003021, 20003187, 20003242, 20003296, 20003806, 20004362, 20004659, 20004836, 20004969, 20005072, 20005719, 20005756, 20006069, 20006152, 20006362, 20006378, 20006493, 20006780, 20006856, 20006929, 20007113, 20007234, 20007258, 20007748, 20008129, 20008220, 20008947, 20008995, 20009218, 20009238, 20009353, 20009435, 20009675, 20009851, 20009892, 21002960]",64
CHE3300 CLCHD,"[18006869, 19000127, 19000833, 19001038, 19003602, 19005287, 19005420, 19006080, 19008412, 19009745, 20000004, 20000058, 20000265, 20000275, 20000761, 20000870, 20000891, 20000950, 20001126, 20001317, 20001417, 20001489, 20001565, 20001591, 20001677, 20001679, 20002076, 20002673, 20002887, 20002891, 20002911, 20002960, 20003010, 20003176, 20003184, 20003301, 20003365, 20003394, 20003628, 20003659, 20003671, 20003691, 20003717, 20004017, 20004055, 20004127, 20004218, 20004265, 20004287, 20004575, 20004613, 20004748, 20004840, 20004979, 20005301, 20005366, 20005500, 20006318, 20006570, 20006590, 20006606, 20006806, 20006892, 20006902, 20007082, 20007307, 20007333, 20007364, 20007665, 20007729, 20007805, 20007866, 20007904, 20008074, 20008170, 20008326, 20009428, 20009472, 20009543, 20009618, 20009641, 20009652, 20009672, 20009695, 20009929, 20009940]",86
CHE3302 CLCHD,"[19001038, 19001304, 19004905, 19005226, 20000004, 20000058, 20000254, 20000265, 20000275, 20000761, 20000870, 20000891, 20000950, 20001126, 20001317, 20001417, 20001489, 20001565, 20001677, 20001679, 20001694, 20002076, 20002267, 20002536, 20002673, 20002887, 20002891, 20002911, 20002960, 20002964, 20003010, 20003176, 20003184, 20003301, 20003365, 20003394, 20003628, 20003659, 20003671, 20003691, 20003717, 20004017, 20004055, 20004127, 20004218, 20004264, 20004265, 20004287, 20004575, 20004613, 20004748, 20004840, 20004979, 20005301, 20005366, 20005500, 20005916, 20006318, 20006570, 20006590, 20006606, 20006683, 20006806, 20006892, 20006902, 20007082, 20007307, 20007333, 20007364, 20007665, 20007729, 20007802, 20007805, 20007866, 20007904, 20008074, 20008170, 20008326, 20008864, 20009428, 20009448, 20009472, 20009543, 20009618, 20009641, 20009652, 20009672, 20009695, 20009929, 20009940]",90
E363 TTKHMT,"[17001317, 17007807, 17009958, 19000322, 19000328, 19004711, 19005045, 19006753, 19008190, 19009346, 19009953]",11
E476 TTKHMT,"[19000322, 19000328, 19004711, 19005045, 19006753, 19008190, 19009346, 19009953]",8
EVF2007,"[20000134, 20000137, 20000206, 20000394, 20000416, 20000448, 20000458, 20000502, 20000691, 20000792, 20000923, 20000959, 20000995, 20001298, 20001426, 20001465, 20001679, 20001687, 20001801, 20001896, 20002183, 20002478, 20002553, 20002648, 20002650, 20003057, 20003136, 20003300, 20003476, 20003565, 20003666, 20003682, 20003742, 20003876, 20003968, 20004100, 20004126, 20004165, 20004560, 20004586, 20004615, 20004630, 20004644, 20004645, 20004709, 20004727, 20004898, 20005053, 20005102, 20005143, 20005385, 20005461, 20005663, 20005795, 20006098, 20006186, 20006404, 20006435, 20006496, 20006665, 20006736, 20006797, 20006975, 20006989, 20007023, 20007163, 20007178, 20007303, 20007461, 20007501, 20007579, 20007588, 20007593, 20007832, 20007932, 20008100, 20008231, 20008265, 20008906, 20008917, 20008989, 20009166, 20009211, 20009308, 20009616, 20009725, 20009837, 21005295, 21007601, 21009616]",90
EVF2032,"[16006115, 20000134, 20000137, 20000206, 20000394, 20000416, 20000448, 20000458, 20000502, 20000691, 20000792, 20000923, 20000959, 20000995, 20001298, 20001426, 20001465, 20001679, 20001687, 20001801, 20001896, 20002183, 20002478, 20002553, 20002648, 20002650, 20003057, 20003136, 20003300, 20003476, 20003565, 20003666, 20003682, 20003742, 20003876, 20003968, 20004100, 20004126, 20004165, 20004560, 20004586, 20004615, 20004630, 20004644, 20004645, 20004709, 20004727, 20004898, 20005053, 20005102, 20005143, 20005385, 20005461, 20005663, 20005795, 20006098, 20006186, 20006404, 20006435, 20006496, 20006665, 20006736, 20006797, 20006975, 20006989, 20007023, 20007163, 20007178, 20007303, 20007461, 20007501, 20007579, 20007588, 20007593, 20007832, 20007932, 20008100, 20008231, 20008265, 20008906, 20008917, 20008989, 20009166, 20009211, 20009308, 20009616, 20009725, 20009837, 21005295, 21009132, 21009616]",91
EVS2017,"[16001379, 18002196, 18004659, 19000199, 19000258, 19000601, 19000810, 19000969, 19001064, 19001687, 19001703, 19001741, 19002233, 19002425, 19002573, 19003146, 19004028, 19004285, 19004299, 19004650, 19004908, 19005076, 19005115, 19006069, 19006407, 19006503, 19006677, 19007154, 19007246, 19007807, 19008828, 19008876, 19009074, 19009244, 19009637, 19009897, 20003390, 20008932, 21003063, 21003801, 21007110]",41
EVS2109,"[18003268, 19000199, 19000258, 19000601, 19000810, 19000969, 19001064, 19001687, 19001741, 19002233, 19002573, 19003146, 19004028, 19004285, 19004299, 19004650, 19004908, 19005076, 19005115, 19006069, 19006407, 19006503, 19006677, 19007154, 19007246, 19007807, 19008828, 19008876, 19009074, 19009244, 19009637, 19009897, 20000243, 20000248, 20000378, 20002273, 20002442, 20003631, 20003895, 20005254, 20005931, 20006126, 21001925, 21003801, 21008569]",45
EVS2301,"[16003408, 18000511, 18004889, 18007018, 20000203, 20000243, 20000248, 20000314, 20000333, 20000378, 20000511, 20000758, 20000894, 20000929, 20001015, 20001258, 20001788, 20001803, 20001861, 20002133, 20002273, 20002442, 20002576, 20002853, 20003152, 20003223, 20003266, 20003347, 20003874, 20004004, 20004114, 20004215, 20004408, 20004443, 20004803, 20004922, 20004990, 20005182, 20005254, 20005458, 20005524, 20005931, 20006060, 20006126, 20006526, 20006542, 20007053, 20007156, 20007412, 20007467, 20007644, 20007759, 20007906, 20008031, 20008182, 20008182, 20008496, 20008569, 20008602, 20008617, 20008662, 20008772, 20008903, 20008932, 20009158, 20009194, 20009215, 20009264, 20009535, 20009674, 20009852, 21002880, 21003379, 21007640]",74
EVS2301 CLCKHMT,"[20003390, 20006588, 20007359, 20008761, 20009538, 20009742]",6
EVS2302,"[16003408, 16008946, 18003268, 18003912, 18004273, 18009940, 19005667, 20000514, 20000956, 20001064, 20001887, 20002573, 20002848, 20002872, 20002897, 20003089, 20003270, 20003755, 20004472, 20004599, 20004603, 20005008, 20005079, 20005083, 20005108, 20005579, 20005652, 20006249, 20006503, 20006552, 20006918, 20007448, 20009434, 21000013, 21000203, 21000259, 21000455, 21000758, 21000826, 21000847, 21000894, 21000929, 21000983, 21001338, 21001370, 21001513, 21001592, 21001788, 21001970, 21001974, 21001981, 21002045, 21002115, 21002331, 21002523, 21002576, 21002697, 21002880, 21002894, 21003063, 21003223, 21003433, 21003451, 21003832, 21003874, 21003912, 21004045, 21004159, 21004397, 21004443, 21004719, 21004990, 21005008, 21005055, 21005059, 21005510, 21005524, 21005579, 21005950, 21006057, 21006213, 21006272, 21007156, 21007390, 21007511, 21007746, 21007896, 21008197, 21008569, 21008571, 21008602, 21008617, 21008662, 21008686, 21008761, 21008772, 21008932, 21009072, 21009194, 21009376, 21009438, 21009535, 21009707, 21009742, 21009962]",105
EVS2302 CTĐB,"[19001489, 20008932, 21000061, 21000777, 21000908, 21000919, 21001478, 21001540, 21001550, 21001761, 21001838, 21001978, 21002559, 21002658, 21003183, 21003212, 21003641, 21003804, 21004004, 21004215, 21004342, 21004366, 21004489, 21004613, 21004691, 21004748, 21004936, 21004945, 21004989, 21005016, 21005316, 21005428, 21005458, 21006123, 21006129, 21006411, 21006718, 21007031, 21007240, 21007412, 21007682, 21007723, 21007742, 21007781, 21007816, 21007899, 21008047, 21008496, 21008600, 21008704, 21008876, 21009056, 21009078, 21009428, 21009466, 21009787]",56
EVS3158,"[17005014, 18008602, 18008903, 19000098, 19000415, 19000770, 19000775, 19001031, 19001114, 19001158, 19001652, 19001655, 19001711, 19002541, 19002667, 19002825, 19002845, 19003171, 19003228, 19003561, 19003720, 19003897, 19004580, 19004591, 19004827, 19004926, 19005397, 19005538, 19005636, 19006330, 19006391, 19006850, 19006856, 19006908, 19007155, 19007437, 19007596, 19007758, 19008415, 19008806, 19009764, 19009927]",42
EVS3232,"[17001243, 17001547, 17008293, 17009381, 18000314, 18001015, 18001258, 18001379, 18001841, 18002340, 18002853, 18003895, 18003912, 18004114, 18004278, 18007412, 18008031, 18008602, 19000098, 19000415, 19000770, 19000775, 19001031, 19001114, 19001158, 19001652, 19001655, 19001711, 19002541, 19002667, 19002825, 19002845, 19003171, 19003228, 19003561, 19003720, 19003897, 19004580, 19004591, 19004827, 19004926, 19005397, 19005538, 19005636, 19006330, 19006391, 19006850, 19006856, 19006908, 19007155, 19007437, 19007596, 19007758, 19008415, 19008806, 19009764, 19009927, 20003895, 20004223]",59
EVS3241,"[16001379, 16005601, 16006503, 16008946, 17000829, 17001547, 17002197, 17002505, 17006580, 18003067, 18003364, 18004221, 18004659, 18004969, 18005120, 18006876, 18007467, 19001703, 19002425, 19004908, 19005076, 19009637, 20000203, 20000455, 20000758, 20000894, 20001861, 20002576, 20002853, 20003223, 20003347, 20003832, 20003874, 20004004, 20004215, 20004408, 20004443, 20004990, 20005008, 20005458, 20005510, 20007053, 20007156, 20007896, 20008182, 20008182, 20008496, 20008569, 20008602, 20008617, 20008662, 20008772, 20009194, 20009535]",54
EVS3241 CLCKHMT,"[20003390, 20005238, 20006588, 20007359, 20008761, 20009538, 20009742]",7
EVS3242,"[16000260, 16001379, 17006580, 18001741, 18001996, 18002233, 18003067, 18003268, 18005182, 18006876, 18006929, 18009428, 20000243, 20000248, 20000314, 20000333, 20000378, 20000511, 20000929, 20001015, 20001190, 20001258, 20001803, 20002273, 20002442, 20003152, 20003631, 20003895, 20004114, 20004257, 20004803, 20005055, 20005182, 20005238, 20005254, 20005524, 20005931, 20006060, 20006126, 20006133, 20006216, 20006526, 20006542, 20007412, 20007465, 20007467, 20007644, 20007759, 20007906, 20008002, 20008031, 20008485, 20008733, 20008903, 20009158, 20009264, 20009674, 20009852, 20009932, 21001925, 21002523, 21003832, 21005687, 21007110, 21007640, 21008569]",66
EVS3244,"[16001233, 17001547, 18000061, 18007412, 19000098, 19000199, 19000258, 19000415, 19000601, 19000770, 19000810, 19000969, 19001031, 19001064, 19001114, 19001158, 19001652, 19001655, 19001687, 19001711, 19001741, 19002233, 19002541, 19002573, 19002667, 19002825, 19002845, 19003146, 19003228, 19003561, 19003720, 19003897, 19004028, 19004285, 19004299, 19004580, 19004591, 19004650, 19004827, 19004926, 19005115, 19005538, 19005636, 19006069, 19006330, 19006391, 19006407, 19006503, 19006677, 19006856, 19006908, 19007154, 19007155, 19007246, 19007437, 19007596, 19007758, 19007807, 19008415, 19008806, 19008828, 19008876, 19009074, 19009244, 19009637, 19009764, 19009897, 19009927, 21003212, 21003379, 21003801, 21004990, 21007345, 21007640, 21009376, 21009557]",76
EVS3245,"[16008946, 18000339, 18005622, 21000013, 21000203, 21000455, 21000758, 21000826, 21000847, 21000894, 21000983, 21001338, 21001370, 21001513, 21001592, 21001788, 21001970, 21002045, 21002576, 21002894, 21003223, 21003433, 21003451, 21003874, 21003912, 21004004, 21004045, 21004159, 21004397, 21004443, 21004719, 21005008, 21005055, 21005059, 21005510, 21005524, 21005950, 21006057, 21006272, 21007156, 21007390, 21007511, 21007746, 21007896, 21008602, 21008617, 21008662, 21008772, 21008932, 21009072, 21009194, 21009535, 21009707, 21009742]",54
EVS3248,"[16001379, 18002982, 18003364, 18003743, 18008990, 19000199, 19000258, 19000601, 19000810, 19000969, 19001064, 19001687, 19001703, 19001741, 19002233, 19002425, 19002573, 19003146, 19004028, 19004299, 19004650, 19004908, 19005076, 19005115, 19006069, 19006407, 19006503, 19006677, 19007154, 19007246, 19007807, 19008828, 19008876, 19009074, 19009244, 19009897, 20005238, 21001925, 21003379, 21003801, 21004748, 21007110, 21008485]",43
EVS3250,"[16006115, 17002197, 18006876, 20000203, 20000758, 20000894, 20001788, 20001861, 20002853, 20003223, 20003266, 20003347, 20003832, 20003874, 20004004, 20004408, 20004443, 20004990, 20005008, 20005458, 20005510, 20007053, 20007156, 20007896, 20008182, 20008182, 20008496, 20008569, 20008602, 20008617, 20008662, 20008772]",32
EVS3250 CLCKHMT,"[20003390, 20006588, 20007359, 20008761, 20009538, 20009742]",6
EVS3287,"[16000260, 16001233, 17001547, 17005014, 18005182, 18007412, 19000098, 19000415, 19000770, 19000775, 19001031, 19001114, 19001158, 19001652, 19001655, 19001711, 19002541, 19002667, 19002825, 19002845, 19003171, 19003228, 19003561, 19003720, 19003897, 19004580, 19004591, 19004827, 19004926, 19005397, 19005538, 19005636, 19006330, 19006391, 19006850, 19006856, 19006908, 19007155, 19007437, 19007596, 19007758, 19008415, 19008806, 19009764, 19009927, 20000243, 20002273, 20006126]",48
EVS3402 CTĐB,"[20006989, 21000061, 21000259, 21000777, 21000908, 21000919, 21001478, 21001540, 21001550, 21001761, 21001838, 21001978, 21002559, 21002658, 21003183, 21003212, 21003641, 21003804, 21004215, 21004342, 21004366, 21004489, 21004613, 21004691, 21004936, 21004989, 21005016, 21005316, 21005428, 21005458, 21006123, 21006129, 21006411, 21006718, 21007031, 21007240, 21007626, 21007682, 21007723, 21007742, 21007781, 21007816, 21007899, 21008047, 21008496, 21008569, 21008600, 21008704, 21008876, 21009056, 21009078, 21009428, 21009466, 21009787]",54
EVS3409,"[16001379, 16006115, 18002841, 18007359, 19000199, 19000258, 19000601, 19000810, 19000969, 19001064, 19001687, 19001703, 19001741, 19002233, 19002425, 19002573, 19003146, 19004028, 19004285, 19004299, 19004650, 19004908, 19005076, 19005115, 19006069, 19006407, 19006503, 19006677, 19007154, 19007246, 19007807, 19008828, 19008876, 19009074, 19009244, 19009897, 21001925, 21003801, 21004748]",39
EVS3453,"[16006115, 19005667, 20000243, 20000248, 20000314, 20000333, 20000378, 20000511, 20000929, 20001015, 20001190, 20001258, 20001803, 20002133, 20002273, 20002442, 20003152, 20003631, 20003895, 20004114, 20004257, 20004803, 20005055, 20005182, 20005254, 20005524, 20005931, 20006060, 20006126, 20006133, 20006216, 20006526, 20006542, 20007412, 20007465, 20007467, 20007759, 20007906, 20008031, 20008485, 20008733, 20009158, 20009215, 20009264, 20009674, 20009852]",46
EVS3455,"[16000260, 16001233, 17005014, 18003067, 18007359, 18008903, 18009264, 19005667, 20000248, 20000314, 20000333, 20000378, 20000511, 20000929, 20001015, 20001190, 20001258, 20001803, 20002133, 20002233, 20002442, 20003152, 20003631, 20003895, 20004114, 20004257, 20004803, 20005055, 20005182, 20005254, 20005524, 20005931, 20006060, 20006133, 20006216, 20006526, 20006542, 20007465, 20007467, 20007759, 20007906, 20008002, 20008031, 20008485, 20008733, 20009158, 20009172, 20009215, 20009264, 20009674, 20009852, 20009932]",52
