MSV,classCode,subjectCode
17001218,CHE1057 4,CHE1057
17001218,CHE1081 10,CHE1081
17001243,EVS3232,EVS3232
17001243,MAT1090 1,MAT1090
17001243,MAT1091 5,MAT1091
17001243,MAT1192 1,MAT1192
17001243,PHY1100 12,PHY1100
17001258,CHE2110E TTH,CHE2110E TTH
17001317,E363 TTKHMT,E363 TTKHMT
17001317,MAT2403 3,MAT2403
17001490,CHE1080 4,CHE1080
17001490,GEO2320 1,GEO2320
17001547,EVS3232,EVS3232
17001547,EVS3241,EVS3241
17001547,EVS3244 2,EVS3244
17001547,EVS3287,EVS3287
17001547,EVS4073 1,EVS4073
17001615,PHY1108 1,PHY1108
17001615,PHY2004 2QTL,PHY2004 QTL
17001615,PHY2310,PHY2310
17001615,PHY3167 1,PHY3167
17001615,PHY3508 2,PHY3508
17001710,MAT2403 3,MAT2403
17001723,CHE1067 3,CHE1067
17001723,MAT1092 5,MAT1092
17001803,MAT1192 2,MAT1192
17001896,MAT3305,MAT3305
17001896,MAT3306,MAT3306
17001902,CHE2018,CHE2018
17002124,MAT2308,MAT2308
17002124,MAT2502 7,MAT2502
17002137,CHE1048,CHE1048
17002137,CHE1065,CHE1065
17002137,CHE2021,CHE2021
17002137,CHE3045,CHE3045
17002137,CHE3254,CHE3254
17002137,MAT1101 1,MAT1101
17002197,EVS3241,EVS3241
17002197,EVS3250 1,EVS3250
17002197,EVS4071 3,EVS4071
17002250,MAT1192 1,MAT1192
17002345,BIO3258 1,BIO3258
17002345,CHE1081 10,CHE1081
17002345,PHY1103 12,PHY1103
17002391,HIS1001 5,HIS1001
17002391,PHI1002 6,PHI1002
17002391,PHY2304 2,PHY2304
17002391,PHY3508 4TNL,PHY3508 TNL
17002391,POL1001 10,POL1001
17002505,EVS3241,EVS3241
17002523,MAT2301 4,MAT2301
17002523,MAT2303 2,MAT2303
17002523,MAT2314,MAT2314
17002632,MAT2301 2,MAT2301
17002632,MAT2303 2,MAT2303
17002740,MAT2308,MAT2308
17002740,MAT2406,MAT2406
17002740,MAT3452 1,MAT3452
17002740,MAT3514 2,MAT3514
17002746,MAT2403 3,MAT2403
17002746,MAT2406,MAT2406
17002746,MAT3525,MAT3525
17002810,GEO2059 1,GEO2059
17002876,CHE1081 4,CHE1081
17002889,GEO2320 1,GEO2320
17002889,GEO3304,GEO3304
17002957,BIO2045E 3CLCCNS,BIO2045E CLCCNS
17002957,BIO2400E 5CLCCNS,BIO2400E CLCCNS
17002957,CHE1081 13CLCCNS,CHE1081 CLCCNS
17002957,PHY1103 2,PHY1103
17003032,MAT2311,MAT2311
17003032,MAT2314,MAT2314
17003032,MAT3305,MAT3305
17003032,MAT3306,MAT3306
17003032,MAT3347 1,MAT3347
17003083,PHY1108 4,PHY1108
17003083,PHY2302 5,PHY2302
17003083,PHY3508 3,PHY3508
17003103,MAT2403 3,MAT2403
17003220,PHY2064 TNL,PHY2064 TNL
17003237,MAT3452 2,MAT3452
17003237,MAT3514 2,MAT3514
17003237,MAT3533,MAT3533
17003237,MAT3539 1,MAT3539
17003438,MAT2306 2,MAT2306
17003438,PHY1103 10,PHY1103
17003445,MAT2303 4,MAT2303
17003673,BIO2400E 2CLCCNS,BIO2400E CLCCNS
17003673,BIO3182 2CLCCNS,BIO3182 CLCCNS
17003673,MAT1101 7,MAT1101
17003673,MAT1192 7CLCCNS,MAT1192 CLCCNS
17003673,PHY1100 8,PHY1100
17003756,EVS4071 4,EVS4071
17003780,PHY2306,PHY2306
17003909,MAT2303 2,MAT2303
17003974,PHY3163 2QTL,PHY3163 QTL
17003974,PHY3508 1,PHY3508
17003974,PHY3609 2,PHY3609
17003974,POL1001 6,POL1001
17003989,CHE3045,CHE3045
17004045,MAT1092 2,MAT1092
17004045,PHI1002 5,PHI1002
17004087,MAT2502 7,MAT2502
17004128,GEO3219,GEO3219
17004137,CHE3254,CHE3254
17004264,MAT2311,MAT2311
17004298,BIO3099,BIO3099
17004373,CHE1048,CHE1048
17004373,MAT1091 2,MAT1091
17004410,BIO3330 CLCCNS,BIO3330 CLCCNS
17004410,CHE1081 13CLCCNS,CHE1081 CLCCNS
17004472,MAT3525,MAT3525
17004546,MAT2311,MAT2311
17004546,MAT3365,MAT3365
17004546,PHI1002 3,PHI1002
17004650,MAT2034,MAT2034
17004650,MAT2308,MAT2308
17004650,MAT2314,MAT2314
17004650,MAT3507,MAT3507
17004828,PHY1100 2,PHY1100
17004880,MAT3525,MAT3525
17004917,MAT3452 1,MAT3452
17004917,MAT3535 CLCMTKHTT,MAT3535 CLCMTKHTT
17004917,PHY1100 13,PHY1100
17005008,CHE1080 2,CHE1080
17005014,CHE1057 2,CHE1057
17005014,EVS3158,EVS3158
17005014,EVS3287,EVS3287
17005014,EVS3455,EVS3455
17005014,EVS4071 3,EVS4071
17005014,MAT1092 1,MAT1092
17005017,MAT2301 4,MAT2301
17005017,MAT2303 2,MAT2303
17005075,BIO2127 2CLCCNS,BIO2127 CLCCNS
17005075,BIO2215E 5CLCCNS,BIO2215E CLCCNS
17005075,BIO2516 4CLCCNS,BIO2516 CLCCNS
17005075,BIO2800 5CLCCNS,BIO2800 CLCCNS
17005075,BIO3302E 5CLCCNS,BIO3302E CLCCNS
17005075,BIO3802E 2CLCCNS,BIO3802E CLCCNS
17005115,CHE1075E 2CLCHD,CHE1075E CLCHD
17005115,MAT1092 12TTH,MAT1092 TTH
17005166,MAT3452 1,MAT3452
17005166,MAT3539 1,MAT3539
17005320,MAT2403 3,MAT2403
17005320,MAT2406,MAT2406
17005436,MAT3525,MAT3525
17005443,CHE1080 2,CHE1080
17005538,GEO3265,GEO3265
17005538,GEO3269,GEO3269
17005538,GEO3270,GEO3270
17005538,HIS1056 2,HIS1056
17005538,MAT1091 10,MAT1091
17005618,BIO3356 4CLCCNS,BIO3356 CLCCNS
17005618,CHE1057 5CLCCNS,CHE1057 CLCCNS
17005618,CHE1080 5,CHE1080
17005618,MAT1091 7,MAT1091
17005618,MAT1101 4,MAT1101
17005618,PHY1103 2,PHY1103
17005634,MAT2403 3,MAT2403
17005634,MAT2502 7,MAT2502
17005636,MAT1091 7,MAT1091
17005636,MAT1092 3,MAT1092
17005657,CHE1065,CHE1065
17005657,CHE1067 2CLCHD,CHE1067 CLCHD
17005657,MAT1092 2,MAT1092
17005746,BIO2045 1,BIO2045
17005746,CHE1057 2,CHE1057
17005746,CHE1080 1,CHE1080
17005746,MAT1101 11,MAT1101
17005746,PHY1103 1,PHY1103
17005895,CHE1065,CHE1065
17005895,CHE1091 1,CHE1091
17005895,CHE2018,CHE2018
17005895,CHE3045,CHE3045
17005895,CHE3253,CHE3253
17005895,CHE3254,CHE3254
17005898,BIO3303 2,BIO3303
17006074,CHE1080 2,CHE1080
17006081,CHE1084,CHE1084
17006089,MAT1091 2,MAT1091
17006154,MAT1101 1,MAT1101
17006154,MAT1192 1,MAT1192
17006166,MAT1092 7,MAT1092
17006180,MAT2301 2,MAT2301
17006218,GEO3266,GEO3266
17006218,GEO3305,GEO3305
17006357,MAT2311,MAT2311
17006357,MAT2407 1,MAT2407
17006357,MAT3300 1,MAT3300
17006357,MAT3306,MAT3306
17006357,PHY1100 11,PHY1100
17006362,MAT1090 2,MAT1090
17006389,MAT3452 1,MAT3452
17006389,MAT3525,MAT3525
17006556,MAT2502 7,MAT2502
17006580,EVS3241,EVS3241
17006580,EVS3242 1,EVS3242
17006580,PHY1103 10,PHY1103
17006598,BIO3373 1TNS,BIO3373 TNS
17006598,BIO3504 1TNS,BIO3504 TNS
17006598,MAT1259 TNS,MAT1259 TNS
17006598,POL1001 1,POL1001
17006599,MAT3525,MAT3525
17006599,MAT3533,MAT3533
17006599,MAT3539 2,MAT3539
17006622,CHE1090,CHE1090
17006630,BIO2202 2,BIO2202
17006630,BIO3304 1,BIO3304
17006630,CHE1057 1,CHE1057
17006630,CHE1081 6,CHE1081
17006630,MAT1101 14,MAT1101
17006630,MAT1192 3,MAT1192
17006630,PHY1100 10,PHY1100
17006630,PHY1103 1,PHY1103
17006656,MAT2303 4,MAT2303
17006730,MAT1091 2,MAT1091
17006730,MAT1092 1,MAT1092
17006730,MAT3525,MAT3525
17006735,BIO3098,BIO3098
17006735,MAT1090 2,MAT1090
17006735,MAT1101 6,MAT1101
17006735,PHI1002 10,PHI1002
17006804,CHE1081 6,CHE1081
17006906,MAT2301 1,MAT2301
17006908,BIO3178 4CLCCNS,BIO3178 CLCCNS
17006908,BIO3258 2,BIO3258
17006908,POL1001 6,POL1001
17006926,PHY1103 1,PHY1103
17007045,GEO3265,GEO3265
17007045,GEO3266,GEO3266
17007045,GEO3269,GEO3269
17007045,MAT1091 2,MAT1091
17007045,PHY1103 2,PHY1103
17007082,GEO1050 4,GEO1050
17007082,PHY1106 QTL,PHY1106 QTL
17007082,PHY1108 1,PHY1108
17007082,PHY2206 2,PHY2206
17007082,PHY3167 1,PHY3167
17007155,MAT2303 2,MAT2303
17007234,BIO2202 2,BIO2202
17007234,HIS1056 5,HIS1056
17007333,MAT2403 3,MAT2403
17007399,MAT2403 1,MAT2403
17007399,MAT3525,MAT3525
17007399,MAT3539 2,MAT3539
17007399,PHI1002 12,PHI1002
17007402,CHE1057 5CLCCNS,CHE1057 CLCCNS
17007595,CHE1048,CHE1048
17007595,CHE1067 3,CHE1067
17007620,MAT2301 2,MAT2301
