classCode,MSVList,numberStudents
CHE1079 2TNH,"[18000929, 18003600, 18000229]",3
CHE1079E CLCCNH,"[20003171, 20005397, 20009849, 20000775, 20006850, 20001728, 20009329, 20000412, 20004662, 20000196, 20006257, 20003250, 20001240, 20004786, 20005484, 20004364, 20009820, 20001819, 20006453, 20001877, 20001543, 20009348, 20007144, 20008646, 20005066, 20004604, 20008035]",27
CHE1080 1,"[21000012, 20006501, 21001206, 20004382, 19004278, 17005746, 20005055, 20004462, 21009994, 20007475, 21005420, 21008996, 20001190, 20101486, 18006181, 20007644, 21004410, 21008318, 21003445, 21000833, 19009244, 20102728, 20003441, 21009663, 21005375, 20007681, 21009442, 21007657, 21008271, 20004257, 21006372, 18000956, 16001379, 20009852, 19003146, 21006034, 20008002, 21009352, 21002306, 21007405, 21001423, 21009046, 21004839, 21003549, 21009960, 18002721, 20009172, 21003142, 21002472, 21003974, 21008293, 20008903, 20006133, 21002315, 21000128, 21004665, 21004733, 21008199, 19003594, 19007301, 21000401, 20004130, 20000511, 21003700, 20007835, 21005818, 19002118, 21000929]",68
CHE1080 2,"[17005443, 18008063, 20006034, 20002576, 20003717, 21000038, 21001896, 20004215, 18004739, 18005366, 21100033, 21007201, 20006537, 18009473, 18000957, 20006651, 18006672, 20003974, 21003736, 20007053, 19003123, 18013245, 21003507, 20003551, 18007705, 21004822, 21102746, 17008525, 20000894, 21009315, 20005622, 21006612, 21007301, 21003656, 21004364, 20000791, 20002045, 21003174, 17006074, 21002327, 21002565, 20004765, 21004298, 19002462, 17005008, 18001126, 21002452, 21005436]",48
CHE1080 3,"[21007688, 18007919, 18002196, 21008511, 21009283, 19001728, 21003782, 20004822, 21001097, 21005106, 18001788, 21001862, 21000733, 21002671, 21002288, 21003571, 19009329, 21000545, 21003389, 18009239, 21004658, 21000203, 21006082, 21004179, 21002899, 21000097, 21000311, 21003089, 21001940, 20004709, 21003076, 18003697, 21002324, 21004771, 21006133, 21009913, 21005928, 20004235, 20003700, 21001814, 19006446, 21002954, 21002598, 21003731, 16006115, 21009378, 19000196, 21005669, 21004738, 21001669, 21005337, 21007030, 21000702, 21004137, 21008032, 18005811, 21002251, 19001240, 18003911, 21002150, 20003451, 21001122, 18002102, 17102728, 19002277, 21009917, 21002310, 21004259, 21002252]",69
CHE1080 4,"[21005135, 17001490, 21009108, 21002118, 17102761, 19005982, 19006060, 18004270, 21007345, 19014917, 20009932, 19004128, 18016181, 20005579, 19007330, 21008220, 20001887, 19013023, 21004795, 18006748, 20000445, 21002302, 18009264, 21006621, 21006053, 20000127, 21001729, 21003918, 21009870, 19000979, 21004693, 21007583, 21003123, 21005906, 21009590, 20009434, 18011095, 20002452, 16000260, 21008054, 20007493, 19001192, 21008839, 19008511, 21001343, 20003390, 21001501, 18007502, 20005563, 21009193, 19008860, 21005017, 21005885, 20105410, 20103206, 18004098, 19003174, 20004803, 20006797, 19005538]",60
CHE1080 5,"[21001887, 19006677, 17103517, 21007889, 20006588, 19004899, 19001018, 17108468, 20000929, 19003063, 17005618, 19008732, 20009215, 20001229, 21006926, 21005770, 20008662, 21008064, 21002974, 20008858, 17008888, 18003895, 20001015, 20108053, 20007975, 20002133, 20008932, 20007588, 21003350, 21000370, 20000394, 21009609, 20000314, 19008248, 19003544, 20005954, 20003780, 21004235, 21003088]",39
CHE1081 1,"[21104238, 21102889, 21106080, 21108197, 21006724, 21103363, 21104418, 21107627, 21102880, 21000919, 21102609, 21107921, 21003975, 21108445, 21004489, 21102341, 21008686, 21103691, 21107052, 21005412, 21009962, 21103363, 21108520, 19008152, 21108514, 19001703, 19000969, 21107582, 21108317, 19007154, 21009787, 21009161, 21101729, 18009822, 21109805, 21003863, 18003067, 20005336, 19003904, 19007201, 21106867, 21002017, 21101432, 21002777, 21102495, 21101833, 21106345, 18005254, 21003569, 21007723, 21100201, 17108016, 21000145, 21007781, 21000244, 20008590, 21006129, 21109388, 21105588, 21001909, 21108922, 21101344, 21107249]",63
CHE1081 10,"[20003155, 18105994, 21009438, 21000762, 21004936, 21000259, 21001540, 21108468, 17002345, 21002697, 21007601, 20003736, 21006411, 20000481, 20009651, 16007060, 21005428, 21009376, 21007746, 21001478, 21108977, 20005320, 20008231, 21001550, 21007626, 21004691, 20005287, 20000833, 17001114, 21008761, 21009056, 19009870, 21005770, 17001218, 21103916, 18004129, 21105020, 21004989, 18009538, 17009066, 20003453, 21007390, 20007131, 18004630, 18008804, 20002505, 21000777, 16009266, 21007682, 21004342, 21007110, 21004366, 21004990, 21002349, 21008600, 20003334, 21000894, 20004249, 18007475, 21006213, 21009535, 21001838, 21008047, 21008273, 20000871, 21007031, 20004987, 20008152, 20002225]",69
CHE1081 11CLCCNS,"[21006480, 21001243, 21008297, 21001237, 21003381, 21000842, 21005681, 21009084, 21007956, 21001495, 21006648, 21005657, 21007327, 21008657, 21008800, 21006273, 21008510, 21006445, 21005238, 21003063, 21006336, 21000830, 21007196, 21009884, 21009188, 21001071, 21001328, 21008172, 21003532, 21006735, 21004542, 21003105, 21008544, 21003718, 21005511, 21005694, 21005294, 21004555, 21107143, 21000482, 20007634, 18006910, 21001828, 21009373]",44
CHE1081 12CLCCNS,"[21105857, 21001950, 20009486, 21001266, 21105011, 21007365, 21009600, 21004702, 21004141, 21000535, 21008855, 21008754, 21008931, 21009972, 21008452, 21001787, 21003989, 21001335, 21006856, 21007232, 21005054, 21009476, 20004173, 21008037, 21003842, 21003770, 21000515, 21002415, 21006752, 21009446, 21008635, 21007176, 21001910, 21004032, 21004003, 21009471, 21006522, 21102746, 21004168, 20005725, 21003804, 20009489]",42
CHE1081 13CLCCNS,"[21002632, 21009745, 17002957, 21001243, 21003651, 21004004, 21007056, 21001877, 21002660, 21008723, 21008162, 21007065, 17004410, 21005550, 21005982, 21001549, 21008511, 21009663, 21008520, 21009822, 21002523, 21007045, 21006058, 21009364, 21002415, 21006927, 21000787, 21008817, 21009435, 21002400, 21005133, 21003669, 21006123, 21004215, 21004316, 21004128, 21002043, 21005612, 21003048, 21007402, 21000116, 21007991, 21000203]",43
CHE1081 14QTS,"[21004542, 21002523, 21004127, 21009048, 21001763, 21004529, 21002895, 21008782, 21007764, 21003494, 21008106, 21006693, 21005287, 21009845, 21005135, 16008265, 21001799, 21008909, 21000124, 21005410, 21005788, 16003170, 21004654, 21003055, 21005829, 21008261, 21002584, 21006322, 21005299, 21005472, 21003587, 21001441]",32
CHE1081 15TNS,"[21004418, 21006710, 21009489, 21005556, 21005784, 21005845, 21006482, 21002176, 21006683, 21003746, 21009352, 21008398, 21006730, 21006444, 21001645, 21003245]",16
CHE1081 2,"[21006272, 21003183, 21001978, 21004162, 18006213, 21003641, 21005059, 21003357, 19006082, 20009725, 21002880, 18000455, 21008876, 21001761, 21009266, 21004047, 21003850, 18003155, 21008337, 21007723, 18008990, 19007363, 21005016, 20008261, 21005510, 21007240, 21109156, 18007575, 21004215, 21000847, 21001394, 21008474, 21105559, 18008714, 18003895, 21109818, 21007742, 21009830, 21102302, 18003875, 21100104, 18003602, 18006918, 18004284, 21008788, 20008318, 21005316, 21105934, 21008513, 18004659, 18006853, 21107410, 21001564, 21103423, 21000908, 21105269, 21105705, 21002894, 21000013, 21102735, 21008496, 21106221, 21005458, 21002559, 18002340, 20003909, 21007899, 21007505]",68
CHE1081 3,"[18103021, 21107460, 17102761, 21106445, 21103292, 21101433, 21000983, 21109822, 21007511, 21001370, 21006363, 21002894, 21001970, 21004443, 21103590, 21002576, 21008772, 21001788, 21102016, 21001142, 21108537, 21006718, 21106634, 21106923, 21008662, 21006057, 21007896, 21008932, 21009707, 21107034, 21007156, 21102509, 21003912, 20003089, 21103532, 21008602, 21107063, 21005524, 16008946, 21006970, 21109837]",41
CHE1081 4,"[19001655, 21002839, 18006552, 21005595, 21005725, 21009538, 21002810, 21009851, 21004176, 21001818, 21001592, 21003034, 21009901, 20007796, 21008571, 21002331, 21008704, 21004159, 21108714, 17002876, 21008600, 21000826, 21001950, 21003832, 21008752, 21005263, 21008653, 21009847, 18005982, 21001615, 21003433, 21004798, 21001845, 20006918, 21009314, 18002721, 21003019, 18002233, 21004739, 21000865, 21006415, 19004591, 20004898, 21002578, 21104182, 21009098, 20007771, 21107660, 21008617, 21008288, 19000098, 21108053, 21008197, 21002608]",54
CHE1081 5,"[21105898, 18106555, 19008763, 20008295, 18101654, 21004280, 21005320, 21106656, 19007584, 21006792, 21009742, 21106622, 20008166, 21002901, 20006752, 20007535, 16001379, 21006022, 20003422, 20003248, 17001025, 20009336, 18004546, 20003516, 21006081, 20001564, 21006848, 21008152, 19007176, 19009917, 20007363, 21008485, 19008511]",33
CHE1081 6,"[21006797, 18004820, 18002196, 20000329, 21003887, 21009852, 21004715, 20009907, 18000071, 19001739, 20001304, 21008220, 20001736, 20009845, 21104754, 21000665, 21000211, 21003015, 21104568, 21003824, 21002200, 17006630, 18005398, 21000791, 21004592, 21009132, 21006910, 21006920, 19006949, 21104983, 21007322, 17006804, 21009760, 20005954, 21003610, 19004711, 21008934, 21008431, 20000903, 21103708, 21009428]",41
CHE1081 7,"[21001338, 20001861, 21005950, 19007758, 20001887, 21002045, 19002825, 21001974, 21003451, 20006906, 19003063, 20008782, 21004397, 20006580, 20006014, 21004090, 21005073, 18007921, 21009466, 21002195, 21009072, 18009264, 21006386, 19005510, 21003874, 21002752, 19007762, 21104917, 21103082, 20002104, 19003223, 21107474, 21107794, 21008916, 21005181, 18006876, 19009535, 19006850, 21003900, 20002853, 21000061, 21000455, 21004045, 20004803, 21000307, 21103592, 20008934, 21005055]",48
CHE1081 8,"[21105845, 18007424, 18000767, 21109918, 19000145, 21105550, 21108250, 20001763, 21100003, 21109314, 21106630, 21004945, 21101095, 21101818, 18005898, 21101244, 21109538, 21107957, 19002233, 21000758, 21100015, 21007640, 21001513, 21001676, 21004359, 18007049, 21100897, 21009062, 18008172, 20004073, 21106568, 21003810, 21003223, 18008836, 20006719, 18105463, 21102867, 21107046, 18003608, 20004146, 21006762, 21009609, 20004644, 18000595, 20007579, 21006516, 21105463, 20003239, 18101886, 20000416, 20006081, 19009637, 20007584, 21102752]",54
CHE1081 9,"[21005780, 21103517, 18009336, 21103245, 21009078, 19000415, 21002658, 21109980, 21103371, 19006908, 20000127, 21007816, 19108448, 21101571, 19104027, 21109176, 21000170, 21101902, 21107861, 21004613, 21004547, 21104901, 21100299, 21104958, 21104023, 19108714]",26
CHE1083,"[20005414, 20001741, 20005120, 20001490, 21007283, 20004659, 21009892, 20007748, 18018016, 17000196, 20001815, 20000624, 20008947, 20001423, 19005525, 20009851, 19009564, 20006362, 20007535, 20006152, 20002119, 18014754, 20005783, 20006856, 21004730, 20004746, 20001628, 21008624]",28
CHE1084,"[19002657, 19004959, 18003863, 19003510, 19003811, 20005120, 19005811, 19008258, 19007720, 17006081, 17001108, 20009240, 19007784, 19004591, 19001030, 19009731, 19007620, 19005893, 19007293, 19008452, 19009212, 20003412, 19007060, 19003441, 20005893, 16005420, 19008142, 19004826, 20008436, 20005725, 20004404, 19005525, 20004098, 19004716, 20000753, 20009979, 20009609, 19000097, 19001171, 20001473, 16008531, 19005693, 19000025, 20002565, 19001996, 20005105, 20009551, 19007493, 19002196, 20001317, 19008097, 20006831, 20003083, 19006133, 19001160, 19004537, 20003195, 19006598, 20005520, 19007870, 19003103, 19004222, 19004828, 19008216, 20004890, 19002982, 20003806, 19007620, 19007893, 18018909, 19003142, 20009321, 19003056, 19006537, 19002197, 19005596, 19004130, 20005403, 19007835, 19001352, 20008996, 18008170, 19008990, 20003187, 19003308, 19005714, 20002966, 18006693, 19004221, 19003364]",90
CHE1084 2TNH,"[20000174, 20002972, 20007858, 20006876, 20009345, 20009764, 20004591, 20000582, 20009381, 20002889, 20003174, 20005925, 20004818, 20008148, 20006621]",15
CHE1090,"[19002657, 20004899, 18014820, 20005414, 20006929, 20005120, 20001490, 20004659, 20007258, 20007748, 20004969, 20008220, 20001815, 19010610, 20000624, 20002302, 19009817, 19009212, 20008947, 20005893, 20001337, 19005311, 17006622, 20001423, 20000320, 19004826, 17007975, 20004404, 20002696, 19009564, 20000753, 20006362, 20001197, 20009609, 20007535, 20003174, 20006152, 20001473, 19008132, 20008923, 20002565, 17008031, 20006378, 20002119, 20001317, 19008097, 20006831, 19004537, 20008012, 19006598, 20006856, 20004890, 19002982, 20004746, 20003806, 19007620, 19003142, 19003056, 19006537, 19004130, 20005403, 20003187, 19013363, 19004659, 19008432, 19016445, 20002966, 20007737]",68
CHE1091 1,"[20007234, 18003863, 20006980, 20005120, 19005811, 20009416, 20009353, 17005895, 20009675, 20009240, 20006556, 20001490, 20009263, 20004949, 20004659, 20003462, 20002698, 19002233, 20006110, 19001030, 20003308, 20007258, 20007748, 20005719, 20007113, 20004969, 20006596, 20000821, 20008220, 20003454, 20007557, 20002302, 20003911, 20003412, 20008947, 19000445, 20001144, 20009162, 20004362, 20001337, 20003291, 20009623, 20007203, 20005570, 20000320, 20005780, 20003296, 20000527, 20008436, 18008070, 20005226, 20005725, 20002696, 20004098, 20009066, 20007283, 20003021, 20009979, 20009892, 20009609, 20007034, 20004905, 20006152, 20009671, 20001038, 20003242, 20005105, 20002246, 20006378, 20002119, 20001317, 19008097, 20006831, 20004836, 20008012, 20009471, 18002697, 20009238, 20005756, 20006845, 20006856, 20008412, 20006069, 18000321, 20004890, 20002358, 20004242, 20006493, 20008995, 20005072, 20006304, 20008893, 20009321, 20001628, 20000621, 20004730, 20008129, 20006074]",98
CHE1091 8CLCCNH,"[20003171, 19007520, 20005397, 20009849, 20000775, 20006850, 20001728, 20009329, 18002576, 20000412, 20004662, 20000196, 20006257, 20003250, 21002960, 20001240, 20004786, 20005484, 20007535, 20004364, 20009820, 20001819, 20006453, 20001877, 20001543, 20009348, 20007144, 20008646, 20005066, 20004604, 20008035]",31
CHE1095E TTH,"[21008720, 21001711, 21006856, 21004827, 21009300, 21006330, 21002330, 21006166, 18004739, 21005890, 21007437, 21009764, 21002845, 21002957, 21007155, 21001114, 21001158, 21000824, 21003777, 21009927, 21001813, 21005339, 21003171, 21009968, 21005397, 21009849, 21000775, 21006850, 21001728, 21009329, 21000412, 21004662, 21000968, 18005040, 21000196, 21006257, 21003013, 21005982, 21004786, 21001432, 18002231, 21009820, 21006453, 21004127, 18003594, 21001543, 21007144, 21008646, 21005066]",49
CHE1099E 1TNH,"[21001984, 21001317, 21002110, 21009671, 21007939, 21003226, 21007393, 21004836, 18008828, 21006221, 20000328, 21008448, 21001723, 21000426, 21005484, 21006067, 21003206]",17
CHE1099E 2TTH,"[21008720, 21001711, 21006856, 21004827, 21009300, 21006330, 21002330, 21006166, 21005890, 21007437, 21009764, 21002845, 21002957, 21007155, 21001114, 21001158, 20006330, 21000824, 21003777, 21009927, 21001813, 21005339, 21003171, 21009968, 21005397, 21009849, 21000775, 21006850, 21001728, 21009329, 21002536, 21000412, 21004662, 21000968, 21000196, 21006257, 21006806, 21003013, 21005982, 21004786, 21009154, 21001432, 21009820, 21006453, 21004127, 21001543, 21007144, 21008646, 21005066]",49
CHE1129 CLCCNH,"[20003171, 21004604, 20005397, 20009849, 20000775, 20006850, 21005020, 20001728, 20009329, 20000412, 20004662, 20000196, 20006257, 20003250, 20001240, 20004786, 20005484, 20004364, 20009820, 21003176, 20001819, 21003006, 20006453, 20001877, 21001677, 21004273, 20001543, 20009348, 20007144, 20008646, 20005066, 21000761, 21003184, 20004604, 20008035]",35
CHE1155 1,"[19104820, 21108197, 21102880, 20109699, 21107921, 21108445, 21108250, 21108520, 21108977, 21105011, 20102728, 21109156, 19103155, 21106622, 21105020, 20103517, 20102609, 21107474, 20106630, 21107794, 19109822, 21104182, 20109156, 21101344, 18101200, 21109837]",26
CHE1155 2,"[21104238, 21102889, 21103363, 21103517, 21108468, 19103381, 21102341, 21109314, 19104565, 21101095, 19104449, 21108317, 21108714, 21103916, 21102016, 21107143, 19102099, 21103082, 21107410, 21102509, 19108250, 20108714, 19107052, 21106221, 19109538]",25
CHE1155 3,"[20104558, 21107460, 21106445, 21103292, 21101433, 21109822, 21103245, 21101818, 21109980, 21103590, 21107582, 20103226, 20104027, 20105845, 21108537, 19100957, 20107921, 21105934, 21105463, 20104237, 21107034, 21105705, 20109980, 19100003, 21107063, 20109805]",26
CHE1155 4,"[20109984, 20108252, 20107263, 20104449, 20107401, 20109466, 20108599, 20100590, 20100025, 20105643, 20104238, 19102728, 21100897, 20101433, 20109918, 21101833, 21107046, 20103691, 20107052, 20103363, 20108977, 20108514, 20101244, 20101729, 21102752, 20103206]",26
CHE1155 5,"[20107663, 21105898, 21105845, 20107251, 21105550, 19103005, 20100726, 20104828, 20107724, 20107069, 20102099, 20106080, 18103363, 20108197, 20107627, 20106445, 18105550, 20103094, 20100003, 20101095, 20103590, 20104542, 20103371, 20107408, 19108317, 20100015]",26
CHE1155 6,"[21106080, 18109699, 20108601, 20106815, 20102342, 20101654, 20100277, 18107724, 20106555, 20100957, 20107092, 20105898, 19109946, 20103363, 20107460, 19108448, 20104418, 21101432, 20108468, 20102341, 19106080, 20108250, 20101818, 20107957, 20108317, 19108714]",26
CHE2018,"[18003770, 20007234, 20006980, 20009416, 17005895, 20009675, 20008080, 20001922, 19006876, 20006556, 20004949, 20003462, 20002698, 20006110, 20003308, 20005719, 20007113, 20006596, 20001059, 20009435, 20000821, 20001461, 18009193, 20003454, 20007557, 17001902, 20001759, 18006637, 20001144, 20009162, 20004362, 20009218, 20003291, 20009623, 20009456, 20007203, 20005570, 19001197, 20005780, 20000527, 20005226, 20007283, 20003021, 18005900, 19007535, 20007885, 20009892, 20004103, 18007345, 20007034, 20004905, 19006160, 19008923, 20009671, 20001038, 18000762, 20003242, 20002246, 20004836, 20003053, 20009471, 20009894, 18002697, 20009238, 20005756, 20006845, 20001468, 19008012, 20008412, 20006069, 19001946, 20002358, 20004242, 18003801, 20006493, 20008995, 20005072, 20007123, 19009218, 20003871, 20006304, 20008893, 19001628, 19005403, 19007931, 20003216, 20000621, 19006856, 18008415, 20004730, 20007714, 20008129, 20006074]",93
CHE2021,"[20007234, 20009416, 20009675, 20001922, 19006876, 20006556, 20009263, 20004949, 20003462, 17009699, 20002698, 20006110, 17001171, 20003308, 20007113, 20006596, 19005893, 20000821, 20001461, 20003454, 20007557, 19003418, 20001759, 20001144, 20009162, 20009218, 18004665, 20009456, 20007203, 19001197, 20005780, 20000527, 18008070, 20005226, 19009979, 17000008, 20009066, 20007283, 20003021, 20007885, 20009892, 18002252, 20004103, 20007034, 20004905, 20009671, 20001038, 20003242, 19009551, 20002246, 20004836, 17002137, 20009471, 19006831, 19003083, 20009894, 18002697, 20006845, 20001468, 19003195, 20008412, 20006069, 20002358, 20004242, 20006493, 20008995, 20003871, 20006304, 19005403, 19007931, 20003216, 19008996, 20000621, 19006856, 20004730, 20007714, 20008129, 20006074]",78
CHE2021 2CLCCNH,"[20003171, 20005397, 20009849, 20000775, 20006850, 20001728, 20009329, 20000412, 20004662, 20000196, 20006257, 18004215, 20003250, 20001240, 20004786, 20005484, 20004364, 20009820, 20001819, 20006453, 20001877, 20001543, 20009348, 20007144, 20008646, 20005066, 20004604, 20008035]",28
CHE2030E 1CLCHD,"[19007520, 19009066, 19007283, 19009892, 19004103, 19007034, 19000582, 19001038, 19002246, 19009894, 19005756, 19008412, 19002110, 21002147, 19002358, 19005860, 19007123, 19006304, 19004477, 19004730, 19008129, 19003155, 19003317, 19006067, 19008624, 19006606, 19009651, 19004127, 19001304, 19001736, 19008782, 19006580, 19002361, 19003468, 19006075, 19009845, 19000127, 19008474, 19002752, 19003453, 19007131, 19005420, 19004073, 19003756, 19002505, 19009830]",46
CHE2030E 2CLCHD,"[19005226, 19004905, 18002897, 19009471, 19009238, 19006845, 19006069, 19003602, 19006493, 19006080, 19005072, 19003216, 19000621, 19007714, 19006074, 19002943, 19006062, 19007796, 19000481, 19004820, 19008295, 19001763, 21008082, 19005320, 19006014, 19008231, 19008261, 19005287, 19000833, 19009745, 19008166, 19006264, 19006752, 19006490, 19004071, 19002104]",36
CHE2110 1TNH,"[20000174, 20002972, 20007858, 20006876, 20009345, 20009764, 20004591, 20000582, 20009381, 20002889, 20003174, 20005925, 20004818, 20008148, 20006621]",15
CHE2110 2TNH,"[21001984, 21001317, 21002110, 21009671, 21007939, 21003226, 21007393, 21004836, 21006221, 21008448, 21001723, 21000426, 21005484, 21006067, 21003206]",15
CHE2110E TTH,"[21004827, 20001652, 21002330, 20008806, 20006908, 21005890, 20001711, 21007437, 21001114, 20006330, 20002330, 20004117, 20007596, 21005397, 21001728, 20002845, 20003228, 17001258, 21000412, 20001158, 20001114, 21000968, 21000196, 21004786, 21009154, 18001767, 20000098, 21009820, 21006453, 20003897, 20000824, 20001813, 21005066]",33
CHE2114,"[18006552, 18002897, 20001741, 18017424, 20009353, 19002233, 19007620, 17000196, 20001815, 20000624, 18000665, 20003911, 20001423, 20008905, 18013363, 20009851, 18000326, 20006362, 20001473, 16008531, 19005693, 18017408, 18010015, 20005520, 18006452, 18007948, 18018391, 19005714, 19004221]",29
CHE2114E 1CLCHD,"[20003394, 20004264, 20009652, 20007333, 20001694, 20005916, 20001317, 20009672, 20003365, 20001489, 20004127, 20003010, 20007307, 19006069, 20002267, 20002887, 20009472, 20002960, 20001126, 20008864, 20009448, 19003216, 20007364, 20000058, 20004218, 20006590, 20008170, 20000950, 20005301, 20003671, 20003691, 20002536, 20006902, 20000004, 20000265, 20000870, 20006806, 20007802, 20002891, 20003717, 20004055, 20006683, 20002911, 20004840, 20004575, 20009618, 20001679, 20003184, 20006606, 20000761, 20006570, 20009940, 20004017, 20007082, 20000275, 20003628, 20004979, 20001417, 20007904, 20009428]",60
CHE2114E 2CLCHD,"[20004748, 20003659, 20009695, 20004265, 19004103, 19001038, 20000891, 20001565, 20000254, 20007866, 20007805, 20007729, 20009543, 20003176, 20001677, 20002964, 20002076, 20008326, 19007131, 20009641, 20004287, 20005500]",22
CHE2118E TTH,"[20001652, 19007575, 20008806, 20006908, 20001711, 19004027, 19002010, 20006330, 20002330, 20004117, 20007596, 20002845, 20003228, 20001158, 20001114, 19005414, 21006257, 21004786, 21001432, 20000098, 20003897, 20000824, 18003398, 21007144, 20001813, 21005066]",26
CHE2120E TTH,"[20001652, 20006908, 20001711, 20006330, 20002330, 20004117, 20007596, 20003228, 20001158, 20001114, 21006257, 20000098, 20000824, 20001813]",14
CHE2121 TNH,"[19002099, 19000045, 18004599, 18007060, 19001468, 19002182, 19005895, 19003053, 19003174, 19003806, 19006181, 19004410]",12
CHE2128 TNH,"[20000174, 20002972, 20007858, 20006876, 20009345, 20009764, 20000582, 20009381, 20002889, 20003174, 20005925, 20008148]",12
CHE2130 TNH,"[19002099, 19000045, 19001468, 19002182, 19005895, 19003053, 19003174, 20009381, 20005925, 20004818, 19003806, 19006181, 19004410]",13
CHE2130E TTH,"[19000283, 19007575, 19005525, 19007556, 19006930, 19006182, 19004027, 19002010, 19004085, 19007981, 19008584, 18003794, 19005414, 19006590, 19009240, 18003594, 19004659]",17
CHE2131 TNH,"[19002099, 19000045, 19001468, 19002182, 19005895, 19003053, 19003174, 19003806, 19006181, 19004410]",10
CHE2145E TTH,"[19000283, 19007575, 19005525, 19007556, 19006930, 19006182, 19004027, 19002010, 19004085, 19007981, 19008584, 19005414, 19006590, 19009240, 19004659]",15
CHE3045,"[19017336, 19011146, 19012915, 18003863, 19014547, 19004189, 19015787, 19013775, 19008258, 17005895, 19000624, 19002302, 19015139, 19009345, 19001030, 17009472, 19003911, 19003412, 17008451, 19014818, 19008947, 19005893, 19001337, 20000821, 19003418, 19011935, 19000320, 19008436, 19004404, 19002696, 19012105, 19009851, 19012532, 19004098, 19007030, 19004304, 18000260, 18000951, 19004390, 19000753, 19001197, 19006362, 19019236, 19017371, 19017275, 19009609, 18008070, 19009979, 21006218, 19016058, 19007535, 19001473, 19006160, 19003174, 19002565, 19019638, 19017642, 19009551, 19006378, 19006133, 19013317, 17002137, 20009471, 19006831, 19003083, 20009894, 17003989, 19003195, 19008012, 19005783, 19013381, 19013005, 19004828, 19005520, 19004890, 19014449, 19011025, 19006780, 19016815, 19001946, 19004746, 19003785, 19012342, 19009321, 19019575, 19018252, 20006304, 19001628, 19005403, 19007931, 19017069, 19008148, 19001352, 19017263, 19008990, 19017460, 19013517, 19003187, 19012609]",99
CHE3045E CLCCNH,"[19000231, 19006980, 19007234, 19009416, 19009675, 19008080, 19001922, 19006556, 19009263, 19004949, 19003462, 19002889, 19006596, 19000821, 19001461, 19001144, 19003291, 19009218, 19009456, 19007203, 19005780]",21
CHE3212 TTH,"[19000283, 19007575, 19005525, 19007556, 19006930, 19006182, 19004027, 19002010, 19004085, 19007981, 19008584, 19005414, 19006590, 19009240, 19004659]",15
CHE3253,"[19008220, 19004189, 17005895, 19000624, 19006876, 17009699, 19002302, 17001171, 19009345, 19003911, 19003412, 19008947, 19005893, 19001337, 19003418, 19000320, 19003296, 19008436, 19004404, 19002696, 19009851, 18004665, 19004098, 19007030, 19004304, 19004390, 19000753, 19001197, 19006362, 19009609, 18008070, 19009979, 19007535, 19001473, 19003174, 19002565, 16000916, 19009551, 19006378, 19006831, 19003083, 18002697, 19003195, 19008012, 19005783, 19005520, 19004890, 19006780, 19001946, 19004746, 19003785, 19009321, 19001628, 19005403, 19007931, 19008996, 19006856, 19003187]",58
CHE3253 2CLCCNH,"[19000231, 19006980, 19007234, 19009416, 19009675, 19008080, 19001922, 18004215, 19006556, 19009263, 19004949, 19003462, 19002889, 19006596, 19000821, 19001461, 19001144, 19003291, 19009218, 19009456, 19007203, 19005780]",22
CHE3254,"[19008220, 19004189, 17005895, 19000624, 17000229, 20008080, 19006876, 19002302, 17001171, 19009345, 19003911, 19003412, 20006596, 19008947, 19005893, 19001337, 19003418, 20001759, 19000320, 19003296, 19008436, 19004404, 19002696, 20001144, 19009851, 18004665, 19004098, 19007030, 19004304, 19004390, 19000753, 19001197, 19006362, 19009609, 18008070, 19009979, 19007535, 19001473, 19006160, 19003174, 19002565, 19009551, 19006378, 17002137, 20003053, 19006831, 19003083, 20009894, 18002697, 17004137, 19003195, 19008012, 19005783, 19005520, 19004890, 19001946, 19004746, 19003785, 19009321, 19001628, 19005403, 19007931, 19008996, 19006856, 19008148, 19003187]",66
CHE3254 2CLCCNH,"[19000231, 19006980, 19007234, 19009416, 19009675, 19008080, 19001922, 19006556, 19009263, 19004949, 19003462, 19002889, 19006596, 19000821, 19001461, 19001144, 19003291, 19009218, 19009456, 19007203, 19005780]",21
CHE3283 1CLCHD,"[19007520, 19009066, 19007283, 19009892, 19007034, 19004905, 19000582, 19001038, 19002246, 19009894, 19005756, 19008412, 19002110, 19002358, 19003602, 20000254, 19006080, 19005860, 19007123, 19006304, 19004477, 19000621, 19004730, 19007714, 19008129, 19006074, 19003155, 19003317, 19006067, 19008624, 19006606, 19001887, 19000481, 19009651, 19004820, 19008295, 19004127, 19001763, 19001304, 19008782, 19006014, 19006580, 19002361, 19008261, 19000833, 19003468, 19006075, 19009845, 19000127, 19008474, 19002752, 19003453, 19007131, 19005420, 19006490, 19004073, 19003756, 19002505, 19009830, 19002104]",60
CHE3283 2CLCHD,"[19005226, 18004599, 18002897, 19009471, 19009238, 19006845, 19006493, 19002943, 19006062, 19007796, 19005320, 19008231, 19005287, 19009745, 19008166, 19006264, 19006752, 19004071]",18
