MSV,classCodeList,subjectCodeList
19005282,"['MAT2407 2', 'MAT3365', 'MAT3507']","['MAT2407', 'MAT3365', 'MAT3507']"
19005287,"['CHE2030E 2CLCHD', 'CHE3283 2CLCHD', 'CHE3300 4CLCHD', 'POL1001 12']","['CHE2030E CLCHD', 'CHE3283 CLCHD', 'CHE3300 CLCHD', 'POL1001']"
19005311,"['CHE1067 3', 'CHE1090', 'PHI1002 3']","['CHE1067', 'CHE1090', 'PHI1002']"
19005320,"['CHE1048', 'CHE2030E 2CLCHD', 'CHE3283 2CLCHD']","['CHE1048', 'CHE2030E CLCHD', 'CHE3283 CLCHD']"
19005337,"['BIO2089 TNS', 'BIO2504 TNS', 'BIO3257 TNS', 'BIO3377 TNS', 'BIO3701 TNS']","['BIO2089 TNS', 'BIO2504 TNS', 'BIO3257 TNS', 'BIO3377 TNS', 'BIO3701 TNS']"
19005339,"['EVS4073 3CLCCNKTMT', 'HIS1056 5', 'PHY1020 2']","['EVS4073 CLCCNKTMT', 'HIS1056', 'PHY1020']"
19005375,"['BIO2088 2', 'BIO2220 2', 'BIO3302 3', 'BIO3303 2', 'BIO3304 3']","['BIO2088', 'BIO2220', 'BIO3302', 'BIO3303', 'BIO3304']"
19005397,"['EVS3158', 'EVS3232', 'EVS3287', 'EVS4073 3CLCCNKTMT', 'MAT1091 10', 'PHY1020 3', 'PHY1103 11']","['EVS3158', 'EVS3232', 'EVS3287', 'EVS4073 CLCCNKTMT', 'MAT1091', 'PHY1020', 'PHY1103']"
19005403,"['CHE1075', 'CHE2018', 'CHE2021', 'CHE3045', 'CHE3253', 'CHE3254']","['CHE1075', 'CHE2018', 'CHE2021', 'CHE3045', 'CHE3253', 'CHE3254']"
19005410,"['MAT2411E 2CLCMTKHTT', 'MAT3373E 2CLCMTKHTT', 'MAT3533 3CLCMTKHTT', 'MAT3562E 2CLCMTKHTT']","['MAT2411E CLCMTKHTT', 'MAT3373E CLCMTKHTT', 'MAT3533 CLCMTKHTT', 'MAT3562E CLCMTKHTT']"
19005414,"['CHE2118E TTH', 'CHE2130E TTH', 'CHE2145E TTH', 'CHE3212 TTH', 'MAT1101 11', 'PHI1002 7']","['CHE2118E TTH', 'CHE2130E TTH', 'CHE2145E TTH', 'CHE3212 TTH', 'MAT1101', 'PHI1002']"
19005420,"['BIO2088 2', 'BIO2220 4', 'BIO3302 2', 'BIO3303 2', 'BIO3304 2', 'CHE1067 1CLCHD', 'CHE2030E 1CLCHD', 'CHE3283 1CLCHD', 'CHE3300 4CLCHD', 'HIS1001 5', 'MAT1101 7', 'PHY1020 4CTĐB', 'PHY3508 1', 'PHY3606', 'PHY3608', 'POL1001 6']","['BIO2088', 'BIO2220', 'BIO3302', 'BIO3303', 'BIO3304', 'CHE1067 CLCHD', 'CHE2030E CLCHD', 'CHE3283 CLCHD', 'CHE3300 CLCHD', 'HIS1001', 'MAT1101', 'PHY1020 CTĐB', 'PHY3508', 'PHY3606', 'PHY3608', 'POL1001']"
19005463,"['HIS1001 3', 'MAT2407 2', 'MAT3452 2', 'MAT3525', 'MAT3533', 'PHI1002 12']","['HIS1001', 'MAT2407', 'MAT3452', 'MAT3525', 'MAT3533', 'PHI1002']"
19005484,"['HIS1001 7', 'HMO3608', 'HMO3609', 'HMO3610', 'HMO3611', 'PHY1100 4', 'PHY1103 1']","['HIS1001', 'HMO3608', 'HMO3609', 'HMO3610', 'HMO3611', 'PHY1100', 'PHY1103']"
19005510,"['BIO2043 CLCCNS', 'BIO2127 2CLCCNS', 'BIO2215E 5CLCCNS', 'BIO2516 6CLCCNS', 'BIO2800 5CLCCNS', 'BIO3302E 5CLCCNS', 'BIO3802E 2CLCCNS', 'CHE1081 7', 'MAT1101 13', 'PHI1002 1']","['BIO2043 CLCCNS', 'BIO2127 CLCCNS', 'BIO2215E CLCCNS', 'BIO2516 CLCCNS', 'BIO2800 CLCCNS', 'BIO3302E CLCCNS', 'BIO3802E CLCCNS', 'CHE1081', 'MAT1101', 'PHI1002']"
19005520,"['CHE1079', 'CHE3045', 'CHE3253', 'CHE3254']","['CHE1079', 'CHE3045', 'CHE3253', 'CHE3254']"
19005524,"['BIO2127 1CLCCNS', 'BIO2215E 2CLCCNS', 'BIO2516 2CLCCNS', 'BIO2800 5CLCCNS', 'BIO3302E 3CLCCNS', 'BIO3802E 1CLCCNS']","['BIO2127 CLCCNS', 'BIO2215E CLCCNS', 'BIO2516 CLCCNS', 'BIO2800 CLCCNS', 'BIO3302E CLCCNS', 'BIO3802E CLCCNS']"
19005525,"['BIO2201 4', 'BIO2202 6', 'CHE1083', 'CHE1084', 'CHE2130E TTH', 'CHE2145E TTH', 'CHE3212 TTH', 'MAT1101 12']","['BIO2201', 'BIO2202', 'CHE1083', 'CHE1084', 'CHE2130E TTH', 'CHE2145E TTH', 'CHE3212 TTH', 'MAT1101']"
19005530,"['BIO2044', 'BIO2045 2', 'BIO2092', 'BIO2201 2', 'BIO2202 1', 'BIO2206 2', 'BIO3252 3', 'PHI1002 1', 'POL1001 7']","['BIO2044', 'BIO2045', 'BIO2092', 'BIO2201', 'BIO2202', 'BIO2206', 'BIO3252', 'PHI1002', 'POL1001']"
19005538,"['BIO2044', 'BIO2092', 'BIO2201 3', 'BIO2206 1', 'BIO3252 1', 'CHE1080 4', 'EVS3158', 'EVS3232', 'EVS3244 2', 'EVS3287', 'EVS4073 1', 'MAT1192 3']","['BIO2044', 'BIO2092', 'BIO2201', 'BIO2206', 'BIO3252', 'CHE1080', 'EVS3158', 'EVS3232', 'EVS3244', 'EVS3287', 'EVS4073', 'MAT1192']"
19005550,"['MAT2306 2', 'MAT2311', 'MAT2407 1', 'MAT3306', 'MAT3347 1']","['MAT2306', 'MAT2311', 'MAT2407', 'MAT3306', 'MAT3347']"
19005556,"['MAT2403 2', 'MAT3373', 'MAT3452 1', 'MAT3525']","['MAT2403', 'MAT3373', 'MAT3452', 'MAT3525']"
19005559,"['MAT3300 1', 'MAT3301', 'MAT3305', 'MAT3306', 'MAT3347 1']","['MAT3300', 'MAT3301', 'MAT3305', 'MAT3306', 'MAT3347']"
19005565,"['MAT2403 4CLCMTKHTT', 'MAT2411E 1CLCMTKHTT', 'MAT3500 4CLCMTKHTT', 'MAT3533 2CLCMTKHTT', 'PHI1002 12']","['MAT2403 CLCMTKHTT', 'MAT2411E CLCMTKHTT', 'MAT3500 CLCMTKHTT', 'MAT3533 CLCMTKHTT', 'PHI1002']"
19005579,"['GEO2320 2', 'GEO3265', 'GEO3269', 'GEO3270']","['GEO2320', 'GEO3265', 'GEO3269', 'GEO3270']"
19005580,['POL1001 7'],['POL1001']
19005596,"['CHE1075', 'CHE1084', 'HIS1001 11']","['CHE1075', 'CHE1084', 'HIS1001']"
19005618,"['BIO2089 TNS', 'BIO2504 TNS', 'BIO3257 TNS', 'BIO3377 TNS', 'BIO3701 TNS', 'HIS1001 5']","['BIO2089 TNS', 'BIO2504 TNS', 'BIO3257 TNS', 'BIO3377 TNS', 'BIO3701 TNS', 'HIS1001']"
19005624,"['PHY1108 1', 'PHY2306']","['PHY1108', 'PHY2306']"
19005636,"['EVS3158', 'EVS3232', 'EVS3244 1', 'EVS3287', 'EVS4073 2']","['EVS3158', 'EVS3232', 'EVS3244', 'EVS3287', 'EVS4073']"
19005643,"['PHY2064E QTL', 'PHY2306E QTL', 'PHY3508E QTL', 'PHY3608E QTL']","['PHY2064E QTL', 'PHY2306E QTL', 'PHY3508E QTL', 'PHY3608E QTL']"
19005663,"['MAT3373', 'MAT3452 1', 'MAT3525', 'MAT3539 2', 'PHI1002 2']","['MAT3373', 'MAT3452', 'MAT3525', 'MAT3539', 'PHI1002']"
19005667,"['CHE1057 3', 'EVS2302 3', 'EVS3453', 'EVS3455', 'GEO1050 2', 'MAT1090 1', 'MAT1092 5', 'PHI1002 1', 'PHY1100 2', 'PHY1103 6']","['CHE1057', 'EVS2302', 'EVS3453', 'EVS3455', 'GEO1050', 'MAT1090', 'MAT1092', 'PHI1002', 'PHY1100', 'PHY1103']"
19005687,"['BIO2043 CLCCNS', 'BIO2127 1CLCCNS', 'BIO2215E 2CLCCNS', 'BIO2516 1CLCCNS', 'BIO2800 2CLCCNS', 'BIO3302E 2CLCCNS', 'BIO3802E 1CLCCNS']","['BIO2043 CLCCNS', 'BIO2127 CLCCNS', 'BIO2215E CLCCNS', 'BIO2516 CLCCNS', 'BIO2800 CLCCNS', 'BIO3302E CLCCNS', 'BIO3802E CLCCNS']"
19005693,"['CHE1084', 'CHE2114']","['CHE1084', 'CHE2114']"
19005705,"['HIS1001 7', 'MAT3525', 'MAT3533', 'POL1001 6']","['HIS1001', 'MAT3525', 'MAT3533', 'POL1001']"
19005714,"['CHE1084', 'CHE2114', 'MAT1101 1']","['CHE1084', 'CHE2114', 'MAT1101']"
19005721,"['HIS1001 9', 'MAT2411E 2CLCMTKHTT', 'MAT3373E 2CLCMTKHTT', 'MAT3500 3CLCMTKHTT']","['HIS1001', 'MAT2411E CLCMTKHTT', 'MAT3373E CLCMTKHTT', 'MAT3500 CLCMTKHTT']"
19005730,"['MAT2411E 1CLCMTKHTT', 'MAT3500 4CLCMTKHTT', 'MAT3517E 2CLCMTKHTT', 'MAT3533']","['MAT2411E CLCMTKHTT', 'MAT3500 CLCMTKHTT', 'MAT3517E CLCMTKHTT', 'MAT3533']"
19005746,['MAT2411E 2CLCMTKHTT'],['MAT2411E CLCMTKHTT']
19005751,"['PHY2302 7', 'PHY3163', 'PHY3508 1', 'PHY3606', 'PHY3608', 'POL1001 3']","['PHY2302', 'PHY3163', 'PHY3508', 'PHY3606', 'PHY3608', 'POL1001']"
19005756,"['CHE1067 1CLCHD', 'CHE1075E 1CLCHD', 'CHE2030E 1CLCHD', 'CHE3283 1CLCHD', 'GEO1050 6']","['CHE1067 CLCHD', 'CHE1075E CLCHD', 'CHE2030E CLCHD', 'CHE3283 CLCHD', 'GEO1050']"
19005779,"['GLO3122', 'GLO3158', 'GLO3198', 'GLO3228', 'GLO3229']","['GLO3122', 'GLO3158', 'GLO3198', 'GLO3228', 'GLO3229']"
19005780,"['CHE1048 2CLCCNH', 'CHE3045E CLCCNH', 'CHE3253 2CLCCNH', 'CHE3254 2CLCCNH']","['CHE1048 CLCCNH', 'CHE3045E CLCCNH', 'CHE3253 CLCCNH', 'CHE3254 CLCCNH']"
19005783,"['CHE1048', 'CHE1079', 'CHE3045', 'CHE3253', 'CHE3254']","['CHE1048', 'CHE1079', 'CHE3045', 'CHE3253', 'CHE3254']"
19005811,"['CHE1052', 'CHE1084', 'CHE1091 1', 'PHI1002 1', 'PHI1002 12', 'PHY2302 6', 'PHY3167 1', 'PHY3302']","['CHE1052', 'CHE1084', 'CHE1091', 'PHI1002', 'PHY2302', 'PHY3167', 'PHY3302']"
19005815,"['HIS1056 7', 'MAT2317 6CLCMTKHTT', 'MAT3551E 3CLCMTKHTT', 'MAT3562E 2CLCMTKHTT']","['HIS1056', 'MAT2317 CLCMTKHTT', 'MAT3551E CLCMTKHTT', 'MAT3562E CLCMTKHTT']"
19005818,"['BIO2043 CLCCNS', 'BIO2127 1CLCCNS', 'BIO2215E 2CLCCNS', 'BIO2403E 4CLCCNS', 'BIO2516 3CLCCNS', 'BIO2800 2CLCCNS', 'BIO3302E 2CLCCNS', 'BIO3802E 1CLCCNS', 'MAT1192 6CLCCNS']","['BIO2043 CLCCNS', 'BIO2127 CLCCNS', 'BIO2215E CLCCNS', 'BIO2403E CLCCNS', 'BIO2516 CLCCNS', 'BIO2800 CLCCNS', 'BIO3302E CLCCNS', 'BIO3802E CLCCNS', 'MAT1192 CLCCNS']"
19005845,"['BIO2405E QTS', 'BIO3227E QTS', 'BIO3252E QTS', 'BIO3370E QTS', 'BIO3372E QTS']","['BIO2405E QTS', 'BIO3227E QTS', 'BIO3252E QTS', 'BIO3370E QTS', 'BIO3372E QTS']"
19005857,"['MAT1076', 'MAT2321 TNT']","['MAT1076', 'MAT2321 TNT']"
19005859,"['HIS1001 12', 'MAT2317 4CLCMTKHTT', 'MAT2411E 2CLCMTKHTT', 'MAT3500 3CLCMTKHTT']","['HIS1001', 'MAT2317 CLCMTKHTT', 'MAT2411E CLCMTKHTT', 'MAT3500 CLCMTKHTT']"
19005860,"['CHE1067 1CLCHD', 'CHE2030E 1CLCHD', 'CHE3283 1CLCHD']","['CHE1067 CLCHD', 'CHE2030E CLCHD', 'CHE3283 CLCHD']"
19005871,"['MAT3452 2', 'MAT3539 2']","['MAT3452', 'MAT3539']"
19005893,"['CHE1075', 'CHE1079', 'CHE1084', 'CHE2021', 'CHE3045', 'CHE3253', 'CHE3254', 'HIS1001 1', 'PHY1100 2']","['CHE1075', 'CHE1079', 'CHE1084', 'CHE2021', 'CHE3045', 'CHE3253', 'CHE3254', 'HIS1001', 'PHY1100']"
19005895,"['CHE2121 TNH', 'CHE2130 TNH', 'CHE2131 TNH']","['CHE2121 TNH', 'CHE2130 TNH', 'CHE2131 TNH']"
19005898,"['BIO2089 TNS', 'BIO2504 TNS', 'BIO3257 TNS', 'BIO3377 TNS', 'MAT1292 2TNS', 'POL1001 12']","['BIO2089 TNS', 'BIO2504 TNS', 'BIO3257 TNS', 'BIO3377 TNS', 'MAT1292 TNS', 'POL1001']"
19005900,"['BIO2127 2CLCCNS', 'BIO2215E 6CLCCNS', 'BIO2516 5CLCCNS', 'BIO2800 6CLCCNS', 'BIO3302E 6CLCCNS', 'BIO3802E 2CLCCNS', 'CHE1057 6CLCCNS']","['BIO2127 CLCCNS', 'BIO2215E CLCCNS', 'BIO2516 CLCCNS', 'BIO2800 CLCCNS', 'BIO3302E CLCCNS', 'BIO3802E CLCCNS', 'CHE1057 CLCCNS']"
19005906,"['BIO2088 3', 'BIO2220 3', 'BIO3302 3', 'BIO3303 3', 'BIO3304 3']","['BIO2088', 'BIO2220', 'BIO3302', 'BIO3303', 'BIO3304']"
19005928,"['BIO2088 2', 'BIO2220 3', 'BIO3252 3', 'BIO3302 2', 'BIO3304 2']","['BIO2088', 'BIO2220', 'BIO3252', 'BIO3302', 'BIO3304']"
19005931,"['GEO2320 2', 'GEO3265', 'GEO3269', 'GEO3270', 'MAT1090 1']","['GEO2320', 'GEO3265', 'GEO3269', 'GEO3270', 'MAT1090']"
19005934,"['HIS1001 3', 'MAT2301 1', 'MAT2406', 'MAT3525', 'MAT3533', 'PHY1100 13', 'POL1001 2']","['HIS1001', 'MAT2301', 'MAT2406', 'MAT3525', 'MAT3533', 'PHY1100', 'POL1001']"
19005950,"['BIO2127 2CLCCNS', 'BIO2215E 6CLCCNS', 'BIO2516 5CLCCNS', 'BIO2800 6CLCCNS', 'BIO3302E 6CLCCNS', 'BIO3802E 2CLCCNS']","['BIO2127 CLCCNS', 'BIO2215E CLCCNS', 'BIO2516 CLCCNS', 'BIO2800 CLCCNS', 'BIO3302E CLCCNS', 'BIO3802E CLCCNS']"
19005954,"['BIO2044', 'BIO2045 2', 'BIO2092', 'BIO2201 2', 'BIO2202 1', 'BIO2206 2', 'BIO3252 1']","['BIO2044', 'BIO2045', 'BIO2092', 'BIO2201', 'BIO2202', 'BIO2206', 'BIO3252']"
19005965,"['PHI1002 11', 'PHY1113 5', 'PHY3508 1', 'PHY3606', 'PHY3608']","['PHI1002', 'PHY1113', 'PHY3508', 'PHY3606', 'PHY3608']"
19005982,"['CHE1080 4', 'HIS1001 7', 'HMO3608', 'HMO3609', 'HMO3610', 'HMO3611', 'PHY1103 1']","['CHE1080', 'HIS1001', 'HMO3608', 'HMO3609', 'HMO3610', 'HMO3611', 'PHY1103']"
19006007,"['HIS1001 5', 'MAT2303 1', 'MAT2314', 'MAT3365', 'MAT3452 1']","['HIS1001', 'MAT2303', 'MAT2314', 'MAT3365', 'MAT3452']"
19006014,"['CHE1048 2CLCCNH', 'CHE1067 2CLCHD', 'CHE2030E 2CLCHD', 'CHE3283 1CLCHD', 'PHI1002 7', 'PHY1100 13']","['CHE1048 CLCCNH', 'CHE1067 CLCHD', 'CHE2030E CLCHD', 'CHE3283 CLCHD', 'PHI1002', 'PHY1100']"
19006025,"['PHY3508 1', 'PHY3606', 'PHY3608']","['PHY3508', 'PHY3606', 'PHY3608']"
19006034,"['BIO2088 2', 'BIO2220 3', 'BIO3302 2', 'BIO3303 2', 'BIO3304 2']","['BIO2088', 'BIO2220', 'BIO3302', 'BIO3303', 'BIO3304']"
19006039,"['HIS1001 11', 'MAT2407 2', 'MAT3452 2', 'MAT3525', 'MAT3533']","['HIS1001', 'MAT2407', 'MAT3452', 'MAT3525', 'MAT3533']"
19006053,"['BIO2088 2', 'BIO2220 2', 'BIO3302 2', 'BIO3303 2', 'BIO3304 2', 'CHE1057 3']","['BIO2088', 'BIO2220', 'BIO3302', 'BIO3303', 'BIO3304', 'CHE1057']"
19006057,"['BIO2127 1CLCCNS', 'BIO2215E 2CLCCNS', 'BIO2516 1CLCCNS', 'BIO2800 2CLCCNS', 'BIO3302E 2CLCCNS', 'BIO3802E 1CLCCNS', 'POL1001 5']","['BIO2127 CLCCNS', 'BIO2215E CLCCNS', 'BIO2516 CLCCNS', 'BIO2800 CLCCNS', 'BIO3302E CLCCNS', 'BIO3802E CLCCNS', 'POL1001']"
19006060,"['CHE1080 4', 'GEO2320 2', 'GEO3265', 'GEO3269', 'GEO3270', 'PHI1002 9', 'PHY1103 7']","['CHE1080', 'GEO2320', 'GEO3265', 'GEO3269', 'GEO3270', 'PHI1002', 'PHY1103']"
19006062,"['CHE1052 4CLCHD', 'CHE2030E 2CLCHD', 'CHE3283 2CLCHD', 'HIS1056 8']","['CHE1052 CLCHD', 'CHE2030E CLCHD', 'CHE3283 CLCHD', 'HIS1056']"
19006067,"['CHE1067 1CLCHD', 'CHE1075E 1CLCHD', 'CHE2030E 1CLCHD', 'CHE3283 1CLCHD']","['CHE1067 CLCHD', 'CHE1075E CLCHD', 'CHE2030E CLCHD', 'CHE3283 CLCHD']"
19006069,"['CHE2030E 2CLCHD', 'CHE2114E 1CLCHD', 'EVS2017', 'EVS2109', 'EVS3244 1', 'EVS3248', 'EVS3409', 'HIS1001 10', 'MAT1092 1']","['CHE2030E CLCHD', 'CHE2114E CLCHD', 'EVS2017', 'EVS2109', 'EVS3244', 'EVS3248', 'EVS3409', 'HIS1001', 'MAT1092']"
19006074,"['CHE1048 2CLCCNH', 'CHE1067 1CLCHD', 'CHE2030E 2CLCHD', 'CHE3283 1CLCHD']","['CHE1048 CLCCNH', 'CHE1067 CLCHD', 'CHE2030E CLCHD', 'CHE3283 CLCHD']"
19006075,"['CHE1067 1CLCHD', 'CHE2030E 1CLCHD', 'CHE3283 1CLCHD']","['CHE1067 CLCHD', 'CHE2030E CLCHD', 'CHE3283 CLCHD']"
19006080,"['CHE1067 1CLCHD', 'CHE2030E 2CLCHD', 'CHE3283 1CLCHD', 'CHE3300 4CLCHD', 'MAT1092 8CLCCNH']","['CHE1067 CLCHD', 'CHE2030E CLCHD', 'CHE3283 CLCHD', 'CHE3300 CLCHD', 'MAT1092 CLCCNH']"
19006081,"['BIO2044', 'BIO2045 2', 'BIO2092', 'BIO2201 4', 'BIO2202 4', 'BIO3252 3', 'PHY1100 4']","['BIO2044', 'BIO2045', 'BIO2092', 'BIO2201', 'BIO2202', 'BIO3252', 'PHY1100']"
19006082,"['BIO2088 4', 'BIO2202 5', 'BIO2220 1', 'BIO3302 1', 'BIO3303 4', 'CHE1081 2']","['BIO2088', 'BIO2202', 'BIO2220', 'BIO3302', 'BIO3303', 'CHE1081']"
19006089,"['PHY2302 6', 'PHY3163', 'PHY3606', 'PHY3608']","['PHY2302', 'PHY3163', 'PHY3606', 'PHY3608']"
19006115,"['GEO2320 2', 'GEO3265', 'GEO3269', 'GEO3270', 'PHY1113 3', 'PHY3167 1', 'PHY3302', 'POL1001 3']","['GEO2320', 'GEO3265', 'GEO3269', 'GEO3270', 'PHY1113', 'PHY3167', 'PHY3302', 'POL1001']"
19006133,"['CHE1075', 'CHE1084', 'CHE3045']","['CHE1075', 'CHE1084', 'CHE3045']"
19006154,"['GEO1050 4', 'PHI1002 9', 'PHY1103 12', 'POL1001 8']","['GEO1050', 'PHI1002', 'PHY1103', 'POL1001']"
19006156,"['PHI1002 8', 'PHY2302 7', 'PHY3167 2', 'PHY3302']","['PHI1002', 'PHY2302', 'PHY3167', 'PHY3302']"
19006160,"['CHE2018', 'CHE3045', 'CHE3254', 'HIS1001 11', 'MAT1092 7']","['CHE2018', 'CHE3045', 'CHE3254', 'HIS1001', 'MAT1092']"
19006178,"['MAT2411E 2CLCMTKHTT', 'MAT3373E 2CLCMTKHTT', 'MAT3533 3CLCMTKHTT', 'MAT3562E 1CLCMTKHTT']","['MAT2411E CLCMTKHTT', 'MAT3373E CLCMTKHTT', 'MAT3533 CLCMTKHTT', 'MAT3562E CLCMTKHTT']"
19006180,"['GEO2320 2', 'GEO3265', 'GEO3269', 'GEO3270']","['GEO2320', 'GEO3265', 'GEO3269', 'GEO3270']"
19006181,"['CHE2121 TNH', 'CHE2130 TNH', 'CHE2131 TNH']","['CHE2121 TNH', 'CHE2130 TNH', 'CHE2131 TNH']"
19006182,"['CHE2130E TTH', 'CHE2145E TTH', 'CHE3212 TTH', 'PHY2304 6', 'PHY3163', 'PHY3606', 'PHY3608']","['CHE2130E TTH', 'CHE2145E TTH', 'CHE3212 TTH', 'PHY2304', 'PHY3163', 'PHY3606', 'PHY3608']"
19006216,"['GEO2300 3', 'GEO2320 2', 'GEO3265', 'GEO3266', 'GEO3270', 'MAT1090 2', 'POL1001 11']","['GEO2300', 'GEO2320', 'GEO3265', 'GEO3266', 'GEO3270', 'MAT1090', 'POL1001']"
19006243,"['GEO2320 2', 'GEO3265', 'GEO3269', 'GEO3270', 'MAT1090 1']","['GEO2320', 'GEO3265', 'GEO3269', 'GEO3270', 'MAT1090']"
19006264,"['CHE1048', 'CHE2030E 2CLCHD', 'CHE3283 2CLCHD']","['CHE1048', 'CHE2030E CLCHD', 'CHE3283 CLCHD']"
19006272,"['BIO2127 2CLCCNS', 'BIO2215E 6CLCCNS', 'BIO2516 5CLCCNS', 'BIO2800 6CLCCNS', 'BIO3302E 6CLCCNS', 'BIO3802E 2CLCCNS', 'PHY1103 2']","['BIO2127 CLCCNS', 'BIO2215E CLCCNS', 'BIO2516 CLCCNS', 'BIO2800 CLCCNS', 'BIO3302E CLCCNS', 'BIO3802E CLCCNS', 'PHY1103']"
19006303,"['GLO3122', 'GLO3158', 'GLO3198', 'GLO3228', 'GLO3229', 'MAT1101 13', 'PHI1002 2']","['GLO3122', 'GLO3158', 'GLO3198', 'GLO3228', 'GLO3229', 'MAT1101', 'PHI1002']"
19006304,"['CHE1067 1CLCHD', 'CHE2030E 1CLCHD', 'CHE3283 1CLCHD']","['CHE1067 CLCHD', 'CHE2030E CLCHD', 'CHE3283 CLCHD']"
19006323,"['GEO1050 3', 'HIS1001 1', 'MAT2407 2', 'MAT3452 2', 'MAT3525', 'MAT3533']","['GEO1050', 'HIS1001', 'MAT2407', 'MAT3452', 'MAT3525', 'MAT3533']"
19006330,"['EVS3158', 'EVS3232', 'EVS3244 1', 'EVS3287', 'EVS4073 1', 'MAT1092 7']","['EVS3158', 'EVS3232', 'EVS3244', 'EVS3287', 'EVS4073', 'MAT1092']"
19006354,"['GEO2320 2', 'GEO3265', 'GEO3269', 'GEO3270', 'MAT1090 1', 'PHI1002 9']","['GEO2320', 'GEO3265', 'GEO3269', 'GEO3270', 'MAT1090', 'PHI1002']"
